gene_name	hgnc_id	disease_label	mondo_disease_id	classification	chromosome	start	end	strand	gene_id	transcript_id	protein_id	uniprot_id	entrez_id	mondo_ancestor_id	ancestor_label
ABCA4	HGNC:34	ABCA4-related retinopathy	MONDO_0800406	Definitive	1	93992834.0	94121148.0	-	ENSG00000198691	ENST00000370225	ENSP00000359245	P78363	24	MONDO_0002025	psychiatric disorder
ABCA4	HGNC:34	ABCA4-related retinopathy	MONDO_0800406	Definitive	1	93992834.0	94121148.0	-	ENSG00000198691	ENST00000370225	ENSP00000359245	P78363	24	MONDO_0024458	disorder of visual system
ABCA4	HGNC:34	ABCA4-related retinopathy	MONDO_0800406	Definitive	1	93992834.0	94121148.0	-	ENSG00000198691	ENST00000370225	ENSP00000359245	P78363	24	MONDO_0005071	nervous system disorder
ABCB4	HGNC:45	progressive familial intrahepatic cholestasis type 3	MONDO_0011214	Definitive	7	87401696.0	87480435.0	-	ENSG00000005471	ENST00000649586	ENSP00000496956	P21439	5244	MONDO_0005066	metabolic disease
ABCB4	HGNC:45	progressive familial intrahepatic cholestasis type 3	MONDO_0011214	Definitive	7	87401696.0	87480435.0	-	ENSG00000005471	ENST00000649586	ENSP00000496956	P21439	5244	MONDO_0004335	digestive system disorder
ABCB4	HGNC:45	progressive familial intrahepatic cholestasis type 3	MONDO_0011214	Definitive	7	87401696.0	87480435.0	-	ENSG00000005471	ENST00000649586	ENSP00000496956	P21439	5244	MONDO_0005151	endocrine system disorder
ABCB6	HGNC:47	microphthalmia, isolated, with coloboma 7	MONDO_0013783	Limited	2	219209772.0	219218994.0	-	ENSG00000115657	ENST00000265316	ENSP00000265316	Q9NP58	10058	MONDO_0002022	disorder of orbital region
ABCB6	HGNC:47	microphthalmia, isolated, with coloboma 7	MONDO_0013783	Limited	2	219209772.0	219218994.0	-	ENSG00000115657	ENST00000265316	ENSP00000265316	Q9NP58	10058	MONDO_0024458	disorder of visual system
ABCB6	HGNC:47	dyschromatosis universalis hereditaria 3	MONDO_0014169	Moderate	2	219209772.0	219218994.0	-	ENSG00000115657	ENST00000265316	ENSP00000265316	Q9NP58	10058	MONDO_0002051	integumentary system disorder
ABCB7	HGNC:48	mitochondrial disease	MONDO_0044970	Moderate	X	75051048.0	75156732.0	-	ENSG00000131269	ENST00000373394	ENSP00000362492	O75027	22	MONDO_0044970	mitochondrial disease
ABCC4	HGNC:55	qualitative platelet defect	MONDO_0001197	Moderate	13	95019835.0	95301475.0	-	ENSG00000125257	ENST00000645237	ENSP00000494609	O15439	10257	MONDO_0005570	hematologic disorder
ABCC8	HGNC:59	monogenic diabetes	MONDO_0015967	Definitive	11	17392498.0	17476894.0	-	ENSG00000006071	ENST00000389817	ENSP00000374467	Q09428	6833	MONDO_0005066	metabolic disease
ABCC8	HGNC:59	monogenic diabetes	MONDO_0015967	Definitive	11	17392498.0	17476894.0	-	ENSG00000006071	ENST00000389817	ENSP00000374467	Q09428	6833	MONDO_0004335	digestive system disorder
ABCC8	HGNC:59	monogenic diabetes	MONDO_0015967	Definitive	11	17392498.0	17476894.0	-	ENSG00000006071	ENST00000389817	ENSP00000374467	Q09428	6833	MONDO_0005151	endocrine system disorder
ABCC9	HGNC:60	dilated cardiomyopathy	MONDO_0005021	Limited	12	21797389.0	21942543.0	-	ENSG00000069431	ENST00000261200	ENSP00000261200	O60706	10060	MONDO_0002081	musculoskeletal system disorder
ABCC9	HGNC:60	dilated cardiomyopathy	MONDO_0005021	Limited	12	21797389.0	21942543.0	-	ENSG00000069431	ENST00000261200	ENSP00000261200	O60706	10060	MONDO_0004995	cardiovascular disorder
ABCD1	HGNC:61	adrenoleukodystrophy	MONDO_0018544	Definitive	X	153724856.0	153744755.0	+	ENSG00000101986	ENST00000218104	ENSP00000218104	P33897	215	MONDO_0005066	metabolic disease
ABCD1	HGNC:61	adrenoleukodystrophy	MONDO_0018544	Definitive	X	153724856.0	153744755.0	+	ENSG00000101986	ENST00000218104	ENSP00000218104	P33897	215	MONDO_0005151	endocrine system disorder
ABCD1	HGNC:61	adrenoleukodystrophy	MONDO_0018544	Definitive	X	153724856.0	153744755.0	+	ENSG00000101986	ENST00000218104	ENSP00000218104	P33897	215	MONDO_0002025	psychiatric disorder
ABCD1	HGNC:61	adrenoleukodystrophy	MONDO_0018544	Definitive	X	153724856.0	153744755.0	+	ENSG00000101986	ENST00000218104	ENSP00000218104	P33897	215	MONDO_0005071	nervous system disorder
ABCD3	HGNC:67	congenital bile acid synthesis defect 5	MONDO_0014564	Limited	1	94418389.0	94518666.0	+	ENSG00000117528	ENST00000370214	ENSP00000359233	P28288	5825	MONDO_0005066	metabolic disease
ABCD4	HGNC:68	methylmalonic acidemia with homocystinuria, type cblJ	MONDO_0013925	Moderate	14	74285269.0	74303055.0	-	ENSG00000119688	ENST00000356924	ENSP00000349396	O14678	5826	MONDO_0005066	metabolic disease
ABCD4	HGNC:68	methylmalonic acidemia with homocystinuria, type cblJ	MONDO_0013925	Moderate	14	74285269.0	74303055.0	-	ENSG00000119688	ENST00000356924	ENSP00000349396	O14678	5826	MONDO_0005570	hematologic disorder
ABCD4	HGNC:68	methylmalonic acidemia with homocystinuria, type cblJ	MONDO_0013925	Moderate	14	74285269.0	74303055.0	-	ENSG00000119688	ENST00000356924	ENSP00000349396	O14678	5826	MONDO_0005137	nutritional disorder
ABCG5	HGNC:13886	sitosterolemia	MONDO_0008863	Definitive	2	43812472.0	43838865.0	-	ENSG00000138075	ENST00000405322	ENSP00000384513	Q9H222	64240	MONDO_0005066	metabolic disease
ABCG8	HGNC:13887	sitosterolemia	MONDO_0008863	Definitive	2	43831942.0	43882988.0	+	ENSG00000143921	ENST00000272286	ENSP00000272286	Q9H221	64241	MONDO_0005066	metabolic disease
ABHD12	HGNC:15868	PHARC syndrome	MONDO_0012984	Definitive	20	25294742.0	25390835.0	-	ENSG00000100997	ENST00000339157	ENSP00000341408	Q8N2K0	26090	MONDO_0005066	metabolic disease
ABHD12	HGNC:15868	PHARC syndrome	MONDO_0012984	Definitive	20	25294742.0	25390835.0	-	ENSG00000100997	ENST00000339157	ENSP00000341408	Q8N2K0	26090	MONDO_0005071	nervous system disorder
ABHD5	HGNC:21396	Dorfman-Chanarin disease	MONDO_0010155	Definitive	3	43690108.0	43734371.0	+	ENSG00000011198	ENST00000644371	ENSP00000495778	Q8WTS1	51099	MONDO_0005066	metabolic disease
ACAD8	HGNC:87	isobutyryl-CoA dehydrogenase deficiency	MONDO_0012648	Definitive	11	134253548.0	134265855.0	+	ENSG00000151498	ENST00000281182	ENSP00000281182	Q9UKU7	27034	MONDO_0005066	metabolic disease
ACAD9	HGNC:21497	acyl-CoA dehydrogenase 9 deficiency	MONDO_0012624	Definitive	3	128879596.0	128924003.0	+	ENSG00000177646	ENST00000308982	ENSP00000312618	Q9H845	28976	MONDO_0005066	metabolic disease
ACADL	HGNC:88	long chain acyl-CoA dehydrogenase deficiency	MONDO_0020531	Disputed	2	210187126.0	210225447.0	-	ENSG00000115361	ENST00000233710	ENSP00000233710	P28330	33	MONDO_0005066	metabolic disease
ACADL	HGNC:88	long chain acyl-CoA dehydrogenase deficiency	MONDO_0020531	Disputed	2	210187126.0	210225447.0	-	ENSG00000115361	ENST00000233710	ENSP00000233710	P28330	33	MONDO_0002081	musculoskeletal system disorder
ACADL	HGNC:88	long chain acyl-CoA dehydrogenase deficiency	MONDO_0020531	Disputed	2	210187126.0	210225447.0	-	ENSG00000115361	ENST00000233710	ENSP00000233710	P28330	33	MONDO_0004995	cardiovascular disorder
ACADM	HGNC:89	medium chain acyl-CoA dehydrogenase deficiency	MONDO_0008721	Definitive	1	75724431.0	75787575.0	+	ENSG00000117054	ENST00000370841	ENSP00000359878	P11310	34	MONDO_0005066	metabolic disease
ACADS	HGNC:90	short chain acyl-CoA dehydrogenase deficiency	MONDO_0008722	Definitive	12	120725774.0	120740008.0	+	ENSG00000122971	ENST00000242592	ENSP00000242592	P16219	35	MONDO_0005066	metabolic disease
ACADSB	HGNC:91	2-methylbutyryl-CoA dehydrogenase deficiency	MONDO_0012392	Definitive	10	123008979.0	123058290.0	+	ENSG00000196177	ENST00000358776	ENSP00000357873	P45954	36	MONDO_0005066	metabolic disease
ACADVL	HGNC:92	very long chain acyl-CoA dehydrogenase deficiency	MONDO_0008723	Definitive	17	7217125.0	7225266.0	+	ENSG00000072778	ENST00000356839	ENSP00000349297	P49748	37	MONDO_0005066	metabolic disease
ACADVL	HGNC:92	very long chain acyl-CoA dehydrogenase deficiency	MONDO_0008723	Definitive	17	7217125.0	7225266.0	+	ENSG00000072778	ENST00000356839	ENSP00000349297	P49748	37	MONDO_0002081	musculoskeletal system disorder
ACADVL	HGNC:92	very long chain acyl-CoA dehydrogenase deficiency	MONDO_0008723	Definitive	17	7217125.0	7225266.0	+	ENSG00000072778	ENST00000356839	ENSP00000349297	P49748	37	MONDO_0004995	cardiovascular disorder
ACAT1	HGNC:93	beta-ketothiolase deficiency	MONDO_0008760	Definitive	11	108116695.0	108148957.0	+	ENSG00000075239	ENST00000265838	ENSP00000265838	P24752	38	MONDO_0005066	metabolic disease
ACBD5	HGNC:23338	acyl-CoA binding domain containing protein 5 deficiency	MONDO_0100112	Definitive	10	27168135.0	27243046.0	-	ENSG00000107897	ENST00000396271	ENSP00000379568	Q5T8D3	91452	MONDO_0005066	metabolic disease
ACD	HGNC:25070	ACD-related short telomere syndrome	MONDO_0100569	Definitive	16	67657512.0	67660810.0	-	ENSG00000102977	ENST00000620761	ENSP00000478084	Q96AP0	65057	MONDO_0019303	premature aging syndrome
ACO2	HGNC:118	mitochondrial disease	MONDO_0044970	Strong	22	41447830.0	41529273.0	+	ENSG00000100412	ENST00000216254	ENSP00000216254	Q99798	50	MONDO_0044970	mitochondrial disease
ACO2	HGNC:118	mitochondrial disease	MONDO_0044970	Definitive	22	41447830.0	41529273.0	+	ENSG00000100412	ENST00000216254	ENSP00000216254	Q99798	50	MONDO_0044970	mitochondrial disease
ACOX1	HGNC:119	Mitchell syndrome	MONDO_0030073	Strong	17	75941507.0	75979177.0	-	ENSG00000161533	ENST00000293217	ENSP00000293217	Q15067	51	MONDO_0005066	metabolic disease
ACOX1	HGNC:119	peroxisomal acyl-CoA oxidase deficiency	MONDO_0009919	Definitive	17	75941507.0	75979177.0	-	ENSG00000161533	ENST00000293217	ENSP00000293217	Q15067	51	MONDO_0005066	metabolic disease
ACOX2	HGNC:120	congenital bile acid synthesis defect 6	MONDO_0015015	Definitive	3	58505136.0	58537283.0	-	ENSG00000168306	ENST00000302819	ENSP00000307697	Q99424	8309	MONDO_0005066	metabolic disease
ACSF3	HGNC:27288	combined malonic and methylmalonic acidemia	MONDO_0013661	Definitive	16	89088375.0	89164121.0	+	ENSG00000176715	ENST00000614302	ENSP00000479130	Q4G176	197322	MONDO_0005066	metabolic disease
ACSL4	HGNC:3571	non-syndromic X-linked intellectual disability	MONDO_0019181	Definitive	X	109624244.0	109733403.0	-	ENSG00000068366	ENST00000672401	ENSP00000500273	O60488	2182	MONDO_0002025	psychiatric disorder
ACSL4	HGNC:3571	non-syndromic X-linked intellectual disability	MONDO_0019181	Definitive	X	109624244.0	109733403.0	-	ENSG00000068366	ENST00000672401	ENSP00000500273	O60488	2182	MONDO_0005071	nervous system disorder
ACTA1	HGNC:129	alpha-actinopathy	MONDO_0100084	Definitive	1	229430365.0	229434104.0	-	ENSG00000143632	ENST00000366684	ENSP00000355645	P68133	58	MONDO_0002081	musculoskeletal system disorder
ACTA1	HGNC:129	alpha-actinopathy	MONDO_0100084	Definitive	1	229430365.0	229434104.0	-	ENSG00000143632	ENST00000366684	ENSP00000355645	P68133	58	MONDO_0005071	nervous system disorder
ACTA1	HGNC:129	alpha-actinopathy	MONDO_0100084	Definitive	1	229430365.0	229434104.0	-	ENSG00000143632	ENST00000366684	ENSP00000355645	P68133	58	MONDO_0002081	musculoskeletal system disorder
ACTA1	HGNC:129	alpha-actinopathy	MONDO_0100084	Definitive	1	229430365.0	229434104.0	-	ENSG00000143632	ENST00000366684	ENSP00000355645	P68133	58	MONDO_0005071	nervous system disorder
ACTB	HGNC:132	ACTB-associated syndromic thrombocytopenia	MONDO_0100433	Moderate	7	5526409.0	5563902.0	-	ENSG00000075624	ENST00000646664	ENSP00000494750	P60709	60	MONDO_0005570	hematologic disorder
ACTB	HGNC:132	Baraitser-Winter cerebrofrontofacial syndrome	MONDO_0017579	Definitive	7	5526409.0	5563902.0	-	ENSG00000075624	ENST00000646664	ENSP00000494750	P60709	60	MONDO_0021147	disorder of development or morphogenesis
ACTB	HGNC:132	Baraitser-Winter cerebrofrontofacial syndrome	MONDO_0017579	Definitive	7	5526409.0	5563902.0	-	ENSG00000075624	ENST00000646664	ENSP00000494750	P60709	60	MONDO_0005071	nervous system disorder
ACTC1	HGNC:143	hypertrophic cardiomyopathy	MONDO_0005045	Definitive	15	34790107.0	34795589.0	-	ENSG00000159251	ENST00000290378	ENSP00000290378	P68032	70	MONDO_0002081	musculoskeletal system disorder
ACTC1	HGNC:143	hypertrophic cardiomyopathy	MONDO_0005045	Definitive	15	34790107.0	34795589.0	-	ENSG00000159251	ENST00000290378	ENSP00000290378	P68032	70	MONDO_0004995	cardiovascular disorder
ACTC1	HGNC:143	dilated cardiomyopathy	MONDO_0005021	Moderate	15	34790107.0	34795589.0	-	ENSG00000159251	ENST00000290378	ENSP00000290378	P68032	70	MONDO_0002081	musculoskeletal system disorder
ACTC1	HGNC:143	dilated cardiomyopathy	MONDO_0005021	Moderate	15	34790107.0	34795589.0	-	ENSG00000159251	ENST00000290378	ENSP00000290378	P68032	70	MONDO_0004995	cardiovascular disorder
ACTC1	HGNC:143	arrhythmogenic right ventricular cardiomyopathy	MONDO_0016587	No Known Disease Relationship	15	34790107.0	34795589.0	-	ENSG00000159251	ENST00000290378	ENSP00000290378	P68032	70	MONDO_0002081	musculoskeletal system disorder
ACTC1	HGNC:143	arrhythmogenic right ventricular cardiomyopathy	MONDO_0016587	No Known Disease Relationship	15	34790107.0	34795589.0	-	ENSG00000159251	ENST00000290378	ENSP00000290378	P68032	70	MONDO_0004995	cardiovascular disorder
ACTG1	HGNC:144	Baraitser-winter syndrome 2	MONDO_0013812	Definitive	17	81509413.0	81523847.0	-	ENSG00000184009	ENST00000573283	ENSP00000458435	P63261	71	MONDO_0021147	disorder of development or morphogenesis
ACTG1	HGNC:144	Baraitser-winter syndrome 2	MONDO_0013812	Definitive	17	81509413.0	81523847.0	-	ENSG00000184009	ENST00000573283	ENSP00000458435	P63261	71	MONDO_0005071	nervous system disorder
ACTG1	HGNC:144	nonsyndromic genetic hearing loss	MONDO_0019497	Definitive	17	81509413.0	81523847.0	-	ENSG00000184009	ENST00000573283	ENSP00000458435	P63261	71	MONDO_0002025	psychiatric disorder
ACTG1	HGNC:144	nonsyndromic genetic hearing loss	MONDO_0019497	Definitive	17	81509413.0	81523847.0	-	ENSG00000184009	ENST00000573283	ENSP00000458435	P63261	71	MONDO_0002409	auditory system disorder
ACTG1	HGNC:144	nonsyndromic genetic hearing loss	MONDO_0019497	Definitive	17	81509413.0	81523847.0	-	ENSG00000184009	ENST00000573283	ENSP00000458435	P63261	71	MONDO_0005071	nervous system disorder
ACTN1	HGNC:163	platelet-type bleeding disorder 15	MONDO_0014078	Definitive	14	68874123.0	68979440.0	-	ENSG00000072110	ENST00000394419	ENSP00000377941	P12814	87	MONDO_0005570	hematologic disorder
ACTN2	HGNC:164	intrinsic cardiomyopathy	MONDO_0000591	Definitive	1	236664141.0	236764631.0	+	ENSG00000077522	ENST00000366578	ENSP00000355537	P35609	88	MONDO_0002081	musculoskeletal system disorder
ACTN2	HGNC:164	intrinsic cardiomyopathy	MONDO_0000591	Definitive	1	236664141.0	236764631.0	+	ENSG00000077522	ENST00000366578	ENSP00000355537	P35609	88	MONDO_0004995	cardiovascular disorder
ACVR1	HGNC:171	fibrodysplasia ossificans progressiva	MONDO_0007606	Definitive	2	157736251.0	157876330.0	-	ENSG00000115170	ENST00000434821	ENSP00000405004	Q04771	90	MONDO_0002051	integumentary system disorder
ACVR1	HGNC:171	fibrodysplasia ossificans progressiva	MONDO_0007606	Definitive	2	157736251.0	157876330.0	-	ENSG00000115170	ENST00000434821	ENSP00000405004	Q04771	90	MONDO_0002081	musculoskeletal system disorder
ACVR1	HGNC:171	congenital heart disease	MONDO_0005453	Limited	2	157736251.0	157876330.0	-	ENSG00000115170	ENST00000434821	ENSP00000405004	Q04771	90	MONDO_0021147	disorder of development or morphogenesis
ACVR1	HGNC:171	congenital heart disease	MONDO_0005453	Limited	2	157736251.0	157876330.0	-	ENSG00000115170	ENST00000434821	ENSP00000405004	Q04771	90	MONDO_0004995	cardiovascular disorder
ACVRL1	HGNC:175	telangiectasia, hereditary hemorrhagic, type 2	MONDO_0010880	Definitive	12	51906908.0	51923361.0	+	ENSG00000139567	ENST00000388922	ENSP00000373574	P37023	94	MONDO_0021147	disorder of development or morphogenesis
ACVRL1	HGNC:175	telangiectasia, hereditary hemorrhagic, type 2	MONDO_0010880	Definitive	12	51906908.0	51923361.0	+	ENSG00000139567	ENST00000388922	ENSP00000373574	P37023	94	MONDO_0004995	cardiovascular disorder
ACY1	HGNC:177	aminoacylase 1 deficiency	MONDO_0012368	Definitive	3	51983340.0	51989197.0	+	ENSG00000243989	ENST00000636358	ENSP00000490149	Q03154	95	MONDO_0005066	metabolic disease
ACY1	HGNC:177	aminoacylase 1 deficiency	MONDO_0012368	Definitive	3	51983340.0	51989197.0	+	ENSG00000243989	ENST00000636358	ENSP00000490149	Q03154	95	MONDO_0005071	nervous system disorder
ADA	HGNC:186	severe combined immunodeficiency, autosomal recessive, T cell-negative, B cell-negative, NK cell-negative, due to adenosine deaminase deficiency	MONDO_0007064	Definitive	20	44584896.0	44652252.0	-	ENSG00000196839	ENST00000372874	ENSP00000361965	P00813	100	MONDO_0005066	metabolic disease
ADA	HGNC:186	severe combined immunodeficiency, autosomal recessive, T cell-negative, B cell-negative, NK cell-negative, due to adenosine deaminase deficiency	MONDO_0007064	Definitive	20	44584896.0	44652252.0	-	ENSG00000196839	ENST00000372874	ENSP00000361965	P00813	100	MONDO_0005046	immune system disorder
ADA2	HGNC:1839	deficiency of adenosine deaminase 2	MONDO_0100317	Definitive	22	17178790.0	17258235.0	-	ENSG00000093072	ENST00000399837	ENSP00000382731	Q9NZK5	51816	MONDO_0003900	connective tissue disorder
ADAM17	HGNC:195	congenital heart disease	MONDO_0005453	Limited	2	9488486.0	9556732.0	-	ENSG00000151694	ENST00000310823	ENSP00000309968	P78536	6868	MONDO_0021147	disorder of development or morphogenesis
ADAM17	HGNC:195	congenital heart disease	MONDO_0005453	Limited	2	9488486.0	9556732.0	-	ENSG00000151694	ENST00000310823	ENSP00000309968	P78536	6868	MONDO_0004995	cardiovascular disorder
ADAM9	HGNC:216	ADAM9-related retinopathy	MONDO_0800398	Definitive	8	38996754.0	39105445.0	+	ENSG00000168615	ENST00000487273	ENSP00000419446	Q13443	8754	MONDO_0002022	disorder of orbital region
ADAM9	HGNC:216	ADAM9-related retinopathy	MONDO_0800398	Definitive	8	38996754.0	39105445.0	+	ENSG00000168615	ENST00000487273	ENSP00000419446	Q13443	8754	MONDO_0002025	psychiatric disorder
ADAM9	HGNC:216	ADAM9-related retinopathy	MONDO_0800398	Definitive	8	38996754.0	39105445.0	+	ENSG00000168615	ENST00000487273	ENSP00000419446	Q13443	8754	MONDO_0024458	disorder of visual system
ADAM9	HGNC:216	ADAM9-related retinopathy	MONDO_0800398	Definitive	8	38996754.0	39105445.0	+	ENSG00000168615	ENST00000487273	ENSP00000419446	Q13443	8754	MONDO_0005071	nervous system disorder
ADAMTS13	HGNC:1366	congenital thrombotic thrombocytopenic purpura	MONDO_0010122	Definitive	9	133414358.0	133459402.0	+	ENSG00000160323	ENST00000355699	ENSP00000347927	Q76LX8	11093	MONDO_0005570	hematologic disorder
ADAMTS13	HGNC:1366	congenital thrombotic thrombocytopenic purpura	MONDO_0010122	Definitive	9	133414358.0	133459402.0	+	ENSG00000160323	ENST00000355699	ENSP00000347927	Q76LX8	11093	MONDO_0005046	immune system disorder
ADAMTS18	HGNC:17110	microcornea-myopic chorioretinal atrophy	MONDO_0014195	Definitive	16	77247813.0	77435034.0	-	ENSG00000140873	ENST00000282849	ENSP00000282849	Q8TE60	170692	MONDO_0002022	disorder of orbital region
ADAMTS18	HGNC:17110	microcornea-myopic chorioretinal atrophy	MONDO_0014195	Definitive	16	77247813.0	77435034.0	-	ENSG00000140873	ENST00000282849	ENSP00000282849	Q8TE60	170692	MONDO_0002025	psychiatric disorder
ADAMTS18	HGNC:17110	microcornea-myopic chorioretinal atrophy	MONDO_0014195	Definitive	16	77247813.0	77435034.0	-	ENSG00000140873	ENST00000282849	ENSP00000282849	Q8TE60	170692	MONDO_0024458	disorder of visual system
ADAMTS18	HGNC:17110	microcornea-myopic chorioretinal atrophy	MONDO_0014195	Definitive	16	77247813.0	77435034.0	-	ENSG00000140873	ENST00000282849	ENSP00000282849	Q8TE60	170692	MONDO_0005071	nervous system disorder
ADAMTS19	HGNC:17111	congenital heart disease	MONDO_0005453	Limited	5	129460281.0	129738683.0	+	ENSG00000145808	ENST00000274487			171019	MONDO_0021147	disorder of development or morphogenesis
ADAMTS19	HGNC:17111	congenital heart disease	MONDO_0005453	Limited	5	129460281.0	129738683.0	+	ENSG00000145808	ENST00000274487			171019	MONDO_0004995	cardiovascular disorder
ADAR	HGNC:225	Leigh syndrome	MONDO_0009723	Limited	1	154581695.0	154628013.0	-	ENSG00000160710	ENST00000368474	ENSP00000357459	P55265	103	MONDO_0021147	disorder of development or morphogenesis
ADAR	HGNC:225	Leigh syndrome	MONDO_0009723	Limited	1	154581695.0	154628013.0	-	ENSG00000160710	ENST00000368474	ENSP00000357459	P55265	103	MONDO_0005066	metabolic disease
ADAR	HGNC:225	Leigh syndrome	MONDO_0009723	Limited	1	154581695.0	154628013.0	-	ENSG00000160710	ENST00000368474	ENSP00000357459	P55265	103	MONDO_0005071	nervous system disorder
ADAR	HGNC:225	Leigh syndrome	MONDO_0009723	Limited	1	154581695.0	154628013.0	-	ENSG00000160710	ENST00000368474	ENSP00000357459	P55265	103	MONDO_0044970	mitochondrial disease
ADAR	HGNC:225	ADAR-related type 1 interferonopathy	MONDO_0700261	Definitive	1	154581695.0	154628013.0	-	ENSG00000160710	ENST00000368474	ENSP00000357459	P55265	103	MONDO_0003900	connective tissue disorder
ADAR	HGNC:225	ADAR-related type 1 interferonopathy	MONDO_0700261	Definitive	1	154581695.0	154628013.0	-	ENSG00000160710	ENST00000368474	ENSP00000357459	P55265	103	MONDO_0003900	connective tissue disorder
ADCY1	HGNC:232	nonsyndromic genetic hearing loss	MONDO_0019497	Limited	7	45574140.0	45723116.0	+	ENSG00000164742	ENST00000297323	ENSP00000297323	Q08828	107	MONDO_0002025	psychiatric disorder
ADCY1	HGNC:232	nonsyndromic genetic hearing loss	MONDO_0019497	Limited	7	45574140.0	45723116.0	+	ENSG00000164742	ENST00000297323	ENSP00000297323	Q08828	107	MONDO_0002409	auditory system disorder
ADCY1	HGNC:232	nonsyndromic genetic hearing loss	MONDO_0019497	Limited	7	45574140.0	45723116.0	+	ENSG00000164742	ENST00000297323	ENSP00000297323	Q08828	107	MONDO_0005071	nervous system disorder
ADD3	HGNC:245	complex neurodevelopmental disorder with motor features	MONDO_0100516	Moderate	10	109996368.0	110135565.0	+	ENSG00000148700	ENST00000356080	ENSP00000348381	Q9UEY8	120	MONDO_0005071	nervous system disorder
ADGRG1	HGNC:4512	bilateral frontoparietal polymicrogyria	MONDO_0011738	Strong	16	57610652.0	57665580.0	+	ENSG00000205336	ENST00000562631	ENSP00000455351	Q9Y653	9289	MONDO_0005071	nervous system disorder
ADGRV1	HGNC:17416	nonsyndromic genetic hearing loss	MONDO_0019497	Disputed	5	90529344.0	91164437.0	+	ENSG00000164199	ENST00000405460	ENSP00000384582	Q8WXG9	84059	MONDO_0002025	psychiatric disorder
ADGRV1	HGNC:17416	nonsyndromic genetic hearing loss	MONDO_0019497	Disputed	5	90529344.0	91164437.0	+	ENSG00000164199	ENST00000405460	ENSP00000384582	Q8WXG9	84059	MONDO_0002409	auditory system disorder
ADGRV1	HGNC:17416	nonsyndromic genetic hearing loss	MONDO_0019497	Disputed	5	90529344.0	91164437.0	+	ENSG00000164199	ENST00000405460	ENSP00000384582	Q8WXG9	84059	MONDO_0005071	nervous system disorder
ADK	HGNC:257	adenosine kinase deficiency	MONDO_0100255	Definitive	10	74151202.0	74709963.0	+	ENSG00000156110	ENST00000539909	ENSP00000443965	P55263	132	MONDO_0005066	metabolic disease
ADK	HGNC:257	adenosine kinase deficiency	MONDO_0100255	Definitive	10	74151202.0	74709963.0	+	ENSG00000156110	ENST00000539909	ENSP00000443965	P55263	132	MONDO_0002025	psychiatric disorder
ADK	HGNC:257	adenosine kinase deficiency	MONDO_0100255	Definitive	10	74151202.0	74709963.0	+	ENSG00000156110	ENST00000539909	ENSP00000443965	P55263	132	MONDO_0005071	nervous system disorder
ADNP	HGNC:15766	ADNP-related multiple congenital anomalies - intellectual disability - autism spectrum disorder	MONDO_0014379	Definitive	20	50888916.0	50931437.0	-	ENSG00000101126	ENST00000621696	ENSP00000483881	Q9H2P0	23394	MONDO_0021147	disorder of development or morphogenesis
