gene_id	gene_name	protein_id	mondo_disease_id	disease_label	mondo_ancestor_id	ancestor_label	experimental_protein_link	linked_protein_ids	linked_protein_names	evidence_strength
ENSG00000156709	AIFM1	ENSP00000502184	MONDO_0009723	Leigh syndrome	MONDO_0021147	disorder of development or morphogenesis	False	ENSP00000258975;ENSP00000263774;ENSP00000264263;ENSP00000264932;ENSP00000266544;ENSP00000302037;ENSP00000315774;ENSP00000319817;ENSP00000354681;ENSP00000359297;ENSP00000377446;ENSP00000419665;ENSP00000423673	TACO1;NDUFS3;GFM1;SDHA;NDUFA9;MFF;NDUFS8;OPA3;OPA1;NSDHL;SUCLG1;SSBP1;NDUFA13	161;63;132;73;61;142;170;231;125;219;162
ENSG00000156709	AIFM1	ENSP00000502184	MONDO_0009723	Leigh syndrome	MONDO_0005071	nervous system disorder	False	ENSP00000216254;ENSP00000258975;ENSP00000263774;ENSP00000264263;ENSP00000264932;ENSP00000266544;ENSP00000284440;ENSP00000302037;ENSP00000315774;ENSP00000319817;ENSP00000354111;ENSP00000354681;ENSP00000356233;ENSP00000359297;ENSP00000374455;ENSP00000377446;ENSP00000419665;ENSP00000423673;ENSP00000445306	ACO2;TACO1;NDUFS3;GFM1;SDHA;NDUFA9;UCHL1;MFF;NDUFS8;OPA3;DNAJC5;OPA1;KDM5B;NSDHL;SQSTM1;SUCLG1;SSBP1;NDUFA13;ATP1A1	140;161;63;132;73;61;142;170;99;231;175;125;219;162;120
ENSG00000156709	AIFM1	ENSP00000446113	MONDO_0009723	Leigh syndrome	MONDO_0021147	disorder of development or morphogenesis	False	ENSP00000258975;ENSP00000263774;ENSP00000264263;ENSP00000264932;ENSP00000266544;ENSP00000302037;ENSP00000315774;ENSP00000319817;ENSP00000354681;ENSP00000359297;ENSP00000377446;ENSP00000419665;ENSP00000423673	TACO1;NDUFS3;GFM1;SDHA;NDUFA9;MFF;NDUFS8;OPA3;OPA1;NSDHL;SUCLG1;SSBP1;NDUFA13	161;63;132;73;61;142;170;231;125;219;162
ENSG00000156709	AIFM1	ENSP00000446113	MONDO_0009723	Leigh syndrome	MONDO_0005071	nervous system disorder	False	ENSP00000216254;ENSP00000258975;ENSP00000263774;ENSP00000264263;ENSP00000264932;ENSP00000266544;ENSP00000284440;ENSP00000302037;ENSP00000315774;ENSP00000319817;ENSP00000354111;ENSP00000354681;ENSP00000356233;ENSP00000359297;ENSP00000374455;ENSP00000377446;ENSP00000419665;ENSP00000423673;ENSP00000445306	ACO2;TACO1;NDUFS3;GFM1;SDHA;NDUFA9;UCHL1;MFF;NDUFS8;OPA3;DNAJC5;OPA1;KDM5B;NSDHL;SQSTM1;SUCLG1;SSBP1;NDUFA13;ATP1A1	140;161;63;132;73;61;142;170;99;231;175;125;219;162;120
ENSG00000156709	AIFM1	ENSP00000435955	MONDO_0009723	Leigh syndrome	MONDO_0021147	disorder of development or morphogenesis	False	ENSP00000258975;ENSP00000263774;ENSP00000264263;ENSP00000264932;ENSP00000266544;ENSP00000302037;ENSP00000315774;ENSP00000319817;ENSP00000354681;ENSP00000359297;ENSP00000377446;ENSP00000419665;ENSP00000423673	TACO1;NDUFS3;GFM1;SDHA;NDUFA9;MFF;NDUFS8;OPA3;OPA1;NSDHL;SUCLG1;SSBP1;NDUFA13	161;63;132;73;61;142;170;231;125;219;162
ENSG00000156709	AIFM1	ENSP00000435955	MONDO_0009723	Leigh syndrome	MONDO_0005071	nervous system disorder	False	ENSP00000216254;ENSP00000258975;ENSP00000263774;ENSP00000264263;ENSP00000264932;ENSP00000266544;ENSP00000284440;ENSP00000302037;ENSP00000315774;ENSP00000319817;ENSP00000354111;ENSP00000354681;ENSP00000356233;ENSP00000359297;ENSP00000374455;ENSP00000377446;ENSP00000419665;ENSP00000423673;ENSP00000445306	ACO2;TACO1;NDUFS3;GFM1;SDHA;NDUFA9;UCHL1;MFF;NDUFS8;OPA3;DNAJC5;OPA1;KDM5B;NSDHL;SQSTM1;SUCLG1;SSBP1;NDUFA13;ATP1A1	140;161;63;132;73;61;142;170;99;231;175;125;219;162;120
ENSG00000156709	AIFM1	ENSP00000316320	MONDO_0009723	Leigh syndrome	MONDO_0021147	disorder of development or morphogenesis	False	ENSP00000258975;ENSP00000263774;ENSP00000264263;ENSP00000264932;ENSP00000266544;ENSP00000302037;ENSP00000315774;ENSP00000319817;ENSP00000354681;ENSP00000359297;ENSP00000377446;ENSP00000419665;ENSP00000423673	TACO1;NDUFS3;GFM1;SDHA;NDUFA9;MFF;NDUFS8;OPA3;OPA1;NSDHL;SUCLG1;SSBP1;NDUFA13	161;63;132;73;61;142;170;231;125;219;162
ENSG00000156709	AIFM1	ENSP00000316320	MONDO_0009723	Leigh syndrome	MONDO_0005071	nervous system disorder	False	ENSP00000216254;ENSP00000258975;ENSP00000263774;ENSP00000264263;ENSP00000264932;ENSP00000266544;ENSP00000284440;ENSP00000302037;ENSP00000315774;ENSP00000319817;ENSP00000354111;ENSP00000354681;ENSP00000356233;ENSP00000359297;ENSP00000374455;ENSP00000377446;ENSP00000419665;ENSP00000423673;ENSP00000445306	ACO2;TACO1;NDUFS3;GFM1;SDHA;NDUFA9;UCHL1;MFF;NDUFS8;OPA3;DNAJC5;OPA1;KDM5B;NSDHL;SQSTM1;SUCLG1;SSBP1;NDUFA13;ATP1A1	140;161;63;132;73;61;142;170;99;231;175;125;219;162;120
ENSG00000156709	AIFM1	ENSP00000287295	MONDO_0009723	Leigh syndrome	MONDO_0021147	disorder of development or morphogenesis	False	ENSP00000258975;ENSP00000263774;ENSP00000264263;ENSP00000264932;ENSP00000266544;ENSP00000302037;ENSP00000315774;ENSP00000319817;ENSP00000354681;ENSP00000359297;ENSP00000377446;ENSP00000419665;ENSP00000423673	TACO1;NDUFS3;GFM1;SDHA;NDUFA9;MFF;NDUFS8;OPA3;OPA1;NSDHL;SUCLG1;SSBP1;NDUFA13	161;63;132;73;61;142;170;231;125;219;162
ENSG00000156709	AIFM1	ENSP00000287295	MONDO_0009723	Leigh syndrome	MONDO_0005071	nervous system disorder	False	ENSP00000216254;ENSP00000258975;ENSP00000263774;ENSP00000264263;ENSP00000264932;ENSP00000266544;ENSP00000284440;ENSP00000302037;ENSP00000315774;ENSP00000319817;ENSP00000354111;ENSP00000354681;ENSP00000356233;ENSP00000359297;ENSP00000374455;ENSP00000377446;ENSP00000419665;ENSP00000423673;ENSP00000445306	ACO2;TACO1;NDUFS3;GFM1;SDHA;NDUFA9;UCHL1;MFF;NDUFS8;OPA3;DNAJC5;OPA1;KDM5B;NSDHL;SQSTM1;SUCLG1;SSBP1;NDUFA13;ATP1A1	140;161;63;132;73;61;142;170;99;231;175;125;219;162;120
ENSG00000156709	AIFM1	ENSP00000502124	MONDO_0009723	Leigh syndrome	MONDO_0021147	disorder of development or morphogenesis	False	ENSP00000258975;ENSP00000263774;ENSP00000264263;ENSP00000264932;ENSP00000266544;ENSP00000302037;ENSP00000315774;ENSP00000319817;ENSP00000354681;ENSP00000359297;ENSP00000377446;ENSP00000419665;ENSP00000423673	TACO1;NDUFS3;GFM1;SDHA;NDUFA9;MFF;NDUFS8;OPA3;OPA1;NSDHL;SUCLG1;SSBP1;NDUFA13	161;63;132;73;61;142;170;231;125;219;162
ENSG00000156709	AIFM1	ENSP00000502124	MONDO_0009723	Leigh syndrome	MONDO_0005071	nervous system disorder	False	ENSP00000216254;ENSP00000258975;ENSP00000263774;ENSP00000264263;ENSP00000264932;ENSP00000266544;ENSP00000284440;ENSP00000302037;ENSP00000315774;ENSP00000319817;ENSP00000354111;ENSP00000354681;ENSP00000356233;ENSP00000359297;ENSP00000374455;ENSP00000377446;ENSP00000419665;ENSP00000423673;ENSP00000445306	ACO2;TACO1;NDUFS3;GFM1;SDHA;NDUFA9;UCHL1;MFF;NDUFS8;OPA3;DNAJC5;OPA1;KDM5B;NSDHL;SQSTM1;SUCLG1;SSBP1;NDUFA13;ATP1A1	140;161;63;132;73;61;142;170;99;231;175;125;219;162;120
ENSG00000156709	AIFM1	ENSP00000502690	MONDO_0009723	Leigh syndrome	MONDO_0021147	disorder of development or morphogenesis	False	ENSP00000258975;ENSP00000263774;ENSP00000264263;ENSP00000264932;ENSP00000266544;ENSP00000302037;ENSP00000315774;ENSP00000319817;ENSP00000354681;ENSP00000359297;ENSP00000377446;ENSP00000419665;ENSP00000423673	TACO1;NDUFS3;GFM1;SDHA;NDUFA9;MFF;NDUFS8;OPA3;OPA1;NSDHL;SUCLG1;SSBP1;NDUFA13	161;63;132;73;61;142;170;231;125;219;162
ENSG00000156709	AIFM1	ENSP00000502690	MONDO_0009723	Leigh syndrome	MONDO_0005071	nervous system disorder	False	ENSP00000216254;ENSP00000258975;ENSP00000263774;ENSP00000264263;ENSP00000264932;ENSP00000266544;ENSP00000284440;ENSP00000302037;ENSP00000315774;ENSP00000319817;ENSP00000354111;ENSP00000354681;ENSP00000356233;ENSP00000359297;ENSP00000374455;ENSP00000377446;ENSP00000419665;ENSP00000423673;ENSP00000445306	ACO2;TACO1;NDUFS3;GFM1;SDHA;NDUFA9;UCHL1;MFF;NDUFS8;OPA3;DNAJC5;OPA1;KDM5B;NSDHL;SQSTM1;SUCLG1;SSBP1;NDUFA13;ATP1A1	140;161;63;132;73;61;142;170;99;231;175;125;219;162;120
ENSG00000253710	ALG11	ENSP00000430236	MONDO_0013349	ALG11-congenital disorder of glycosylation			False			
ENSG00000119523	ALG2	ENSP00000417764	MONDO_0011933	ALG2-congenital disorder of glycosylation			False			
ENSG00000119523	ALG2	ENSP00000326609	MONDO_0011933	ALG2-congenital disorder of glycosylation			False			
ENSG00000242110	AMACR	ENSP00000334424	MONDO_0013681	alpha-methylacyl-CoA racemase deficiency			False			
ENSG00000242110	AMACR	ENSP00000371504	MONDO_0013681	alpha-methylacyl-CoA racemase deficiency			False			
ENSG00000242110	AMACR	ENSP00000427227	MONDO_0013681	alpha-methylacyl-CoA racemase deficiency			False			
ENSG00000242110	AMACR	ENSP00000371517	MONDO_0013681	alpha-methylacyl-CoA racemase deficiency			False			
ENSG00000153107	ANAPC1	ENSP00000339109	MONDO_0016368	Rothmund-Thomson syndrome type 1	MONDO_0021147	disorder of development or morphogenesis	False	ENSP00000256078;ENSP00000354573	KRAS;MACF1	134;62
ENSG00000153107	ANAPC1	ENSP00000339109	MONDO_0016368	Rothmund-Thomson syndrome type 1	MONDO_0002051	integumentary system disorder	False	ENSP00000256078	KRAS	134
ENSG00000153107	ANAPC1	ENSP00000339109	MONDO_0016368	Rothmund-Thomson syndrome type 1	MONDO_0045024	cancer or benign tumor	False	ENSP00000226574	NFKB1	55
ENSG00000166747	AP1G1	ENSP00000299980	MONDO_0100038	complex neurodevelopmental disorder	MONDO_0005071	nervous system disorder	True	ENSP00000256707;ENSP00000263233;ENSP00000346694;ENSP00000354681;ENSP00000355013;ENSP00000362014;ENSP00000445306;ENSP00000491067;ENSP00000494750	KIDINS220;SYP;HNRNPA2B1;OPA1;CTR9;DNM1;ATP1A1;NECAP1;ACTB	52;295;198;100;71;70;514;46
ENSG00000166747	AP1G1	ENSP00000454523	MONDO_0100038	complex neurodevelopmental disorder	MONDO_0005071	nervous system disorder	True	ENSP00000256707;ENSP00000263233;ENSP00000346694;ENSP00000354681;ENSP00000355013;ENSP00000362014;ENSP00000445306;ENSP00000491067;ENSP00000494750	KIDINS220;SYP;HNRNPA2B1;OPA1;CTR9;DNM1;ATP1A1;NECAP1;ACTB	52;295;198;100;71;70;514;46
ENSG00000166747	AP1G1	ENSP00000377148	MONDO_0100038	complex neurodevelopmental disorder	MONDO_0005071	nervous system disorder	True	ENSP00000256707;ENSP00000263233;ENSP00000346694;ENSP00000354681;ENSP00000355013;ENSP00000362014;ENSP00000445306;ENSP00000491067;ENSP00000494750	KIDINS220;SYP;HNRNPA2B1;OPA1;CTR9;DNM1;ATP1A1;NECAP1;ACTB	52;295;198;100;71;70;514;46
ENSG00000115266	APC2	ENSP00000467073	MONDO_0018838	lissencephaly spectrum disorders	MONDO_0021147	disorder of development or morphogenesis	False	ENSP00000264634;ENSP00000283195;ENSP00000354573	WNT5A;RANBP2;MACF1	58;51;78
ENSG00000115266	APC2	ENSP00000467073	MONDO_0018838	lissencephaly spectrum disorders	MONDO_0005071	nervous system disorder	False	ENSP00000262406;ENSP00000283195;ENSP00000351591;ENSP00000354573	RGS9;RANBP2;NLGN3;MACF1	159;51;73;78
ENSG00000115266	APC2	ENSP00000233607	MONDO_0018838	lissencephaly spectrum disorders	MONDO_0021147	disorder of development or morphogenesis	False	ENSP00000264634;ENSP00000283195;ENSP00000354573	WNT5A;RANBP2;MACF1	58;51;78
ENSG00000115266	APC2	ENSP00000233607	MONDO_0018838	lissencephaly spectrum disorders	MONDO_0005071	nervous system disorder	False	ENSP00000262406;ENSP00000283195;ENSP00000351591;ENSP00000354573	RGS9;RANBP2;NLGN3;MACF1	159;51;73;78
ENSG00000115266	APC2	ENSP00000442954	MONDO_0018838	lissencephaly spectrum disorders	MONDO_0021147	disorder of development or morphogenesis	False	ENSP00000264634;ENSP00000283195;ENSP00000354573	WNT5A;RANBP2;MACF1	58;51;78
ENSG00000115266	APC2	ENSP00000442954	MONDO_0018838	lissencephaly spectrum disorders	MONDO_0005071	nervous system disorder	False	ENSP00000262406;ENSP00000283195;ENSP00000351591;ENSP00000354573	RGS9;RANBP2;NLGN3;MACF1	159;51;73;78
ENSG00000104880	ARHGEF18	ENSP00000499655	MONDO_0019118	inherited retinal dystrophy	MONDO_0002022	disorder of orbital region	False			
ENSG00000104880	ARHGEF18	ENSP00000499655	MONDO_0019118	inherited retinal dystrophy	MONDO_0002025	psychiatric disorder	False	ENSP00000374455	SQSTM1	132
ENSG00000104880	ARHGEF18	ENSP00000499655	MONDO_0019118	inherited retinal dystrophy	MONDO_0024458	disorder of visual system	False			
ENSG00000104880	ARHGEF18	ENSP00000499655	MONDO_0019118	inherited retinal dystrophy	MONDO_0005071	nervous system disorder	False	ENSP00000374455	SQSTM1	132
ENSG00000104880	ARHGEF18	ENSP00000470729	MONDO_0019118	inherited retinal dystrophy	MONDO_0002022	disorder of orbital region	False			
ENSG00000104880	ARHGEF18	ENSP00000470729	MONDO_0019118	inherited retinal dystrophy	MONDO_0002025	psychiatric disorder	False	ENSP00000374455	SQSTM1	132
ENSG00000104880	ARHGEF18	ENSP00000470729	MONDO_0019118	inherited retinal dystrophy	MONDO_0024458	disorder of visual system	False			
ENSG00000104880	ARHGEF18	ENSP00000470729	MONDO_0019118	inherited retinal dystrophy	MONDO_0005071	nervous system disorder	False	ENSP00000374455	SQSTM1	132
ENSG00000104880	ARHGEF18	ENSP00000482647	MONDO_0019118	inherited retinal dystrophy	MONDO_0002022	disorder of orbital region	False			
ENSG00000104880	ARHGEF18	ENSP00000482647	MONDO_0019118	inherited retinal dystrophy	MONDO_0002025	psychiatric disorder	False	ENSP00000374455	SQSTM1	132
ENSG00000104880	ARHGEF18	ENSP00000482647	MONDO_0019118	inherited retinal dystrophy	MONDO_0024458	disorder of visual system	False			
ENSG00000104880	ARHGEF18	ENSP00000482647	MONDO_0019118	inherited retinal dystrophy	MONDO_0005071	nervous system disorder	False	ENSP00000374455	SQSTM1	132
ENSG00000197548	ATG7	ENSP00000509725	MONDO_0030323	spinocerebellar ataxia, autosomal recessive 31	MONDO_0005071	nervous system disorder	False	ENSP00000209884;ENSP00000216254;ENSP00000216484;ENSP00000261622;ENSP00000280772;ENSP00000284440;ENSP00000291568;ENSP00000302037;ENSP00000346694;ENSP00000354681;ENSP00000355013;ENSP00000362014;ENSP00000364524;ENSP00000374455;ENSP00000459533;ENSP00000494750	KLHL20;ACO2;SPTLC2;SLC7A5;ANK3;UCHL1;CSTB;MFF;HNRNPA2B1;OPA1;CTR9;DNM1;PAX7;SQSTM1;LITAF;ACTB	71;67;45;46;59;51;66;74;62;49;292;43;68
ENSG00000197548	ATG7	ENSP00000510336	MONDO_0030323	spinocerebellar ataxia, autosomal recessive 31	MONDO_0005071	nervous system disorder	False	ENSP00000209884;ENSP00000216254;ENSP00000216484;ENSP00000261622;ENSP00000280772;ENSP00000284440;ENSP00000291568;ENSP00000302037;ENSP00000346694;ENSP00000354681;ENSP00000355013;ENSP00000362014;ENSP00000364524;ENSP00000374455;ENSP00000459533;ENSP00000494750	KLHL20;ACO2;SPTLC2;SLC7A5;ANK3;UCHL1;CSTB;MFF;HNRNPA2B1;OPA1;CTR9;DNM1;PAX7;SQSTM1;LITAF;ACTB	71;67;45;46;59;51;66;74;62;49;292;43;68
ENSG00000197548	ATG7	ENSP00000412580	MONDO_0030323	spinocerebellar ataxia, autosomal recessive 31	MONDO_0005071	nervous system disorder	False	ENSP00000209884;ENSP00000216254;ENSP00000216484;ENSP00000261622;ENSP00000280772;ENSP00000284440;ENSP00000291568;ENSP00000302037;ENSP00000346694;ENSP00000354681;ENSP00000355013;ENSP00000362014;ENSP00000364524;ENSP00000374455;ENSP00000459533;ENSP00000494750	KLHL20;ACO2;SPTLC2;SLC7A5;ANK3;UCHL1;CSTB;MFF;HNRNPA2B1;OPA1;CTR9;DNM1;PAX7;SQSTM1;LITAF;ACTB	71;67;45;46;59;51;66;74;62;49;292;43;68
ENSG00000197548	ATG7	ENSP00000347042	MONDO_0030323	spinocerebellar ataxia, autosomal recessive 31	MONDO_0005071	nervous system disorder	False	ENSP00000209884;ENSP00000216254;ENSP00000216484;ENSP00000261622;ENSP00000280772;ENSP00000284440;ENSP00000291568;ENSP00000302037;ENSP00000346694;ENSP00000354681;ENSP00000355013;ENSP00000362014;ENSP00000364524;ENSP00000374455;ENSP00000459533;ENSP00000494750	KLHL20;ACO2;SPTLC2;SLC7A5;ANK3;UCHL1;CSTB;MFF;HNRNPA2B1;OPA1;CTR9;DNM1;PAX7;SQSTM1;LITAF;ACTB	71;67;45;46;59;51;66;74;62;49;292;43;68
ENSG00000197548	ATG7	ENSP00000346437	MONDO_0030323	spinocerebellar ataxia, autosomal recessive 31	MONDO_0005071	nervous system disorder	False	ENSP00000209884;ENSP00000216254;ENSP00000216484;ENSP00000261622;ENSP00000280772;ENSP00000284440;ENSP00000291568;ENSP00000302037;ENSP00000346694;ENSP00000354681;ENSP00000355013;ENSP00000362014;ENSP00000364524;ENSP00000374455;ENSP00000459533;ENSP00000494750	KLHL20;ACO2;SPTLC2;SLC7A5;ANK3;UCHL1;CSTB;MFF;HNRNPA2B1;OPA1;CTR9;DNM1;PAX7;SQSTM1;LITAF;ACTB	71;67;45;46;59;51;66;74;62;49;292;43;68
ENSG00000184743	ATL3	ENSP00000381844	MONDO_0014286	neuropathy, hereditary sensory, type 1F	MONDO_0005071	nervous system disorder	False	ENSP00000302037	MFF	57
ENSG00000163399	ATP1A1	ENSP00000295598	MONDO_0054833	charcot-marie-tooth disease, axonal, type 2DD	MONDO_0005071	nervous system disorder	True	ENSP00000234488;ENSP00000261622;ENSP00000263980;ENSP00000264932;ENSP00000280772;ENSP00000286628;ENSP00000287295;ENSP00000288139;ENSP00000299166;ENSP00000303540;ENSP00000345728;ENSP00000358033;ENSP00000368486;ENSP00000377148;ENSP00000420608;ENSP00000493594;ENSP00000494750	CLCN6;SLC7A5;SLC9A1;SDHA;ANK3;KCNMA1;AIFM1;CACNA1D;NDUFB8;SCN1A;ATP7A;PDSS2;ZFX;AP1G1;EMC1;MYH14;ACTB	48;507;99;79;95;102;120;94;232;91;147;51;70;297;45;46
ENSG00000163399	ATP1A1	ENSP00000445306	MONDO_0054833	charcot-marie-tooth disease, axonal, type 2DD	MONDO_0005071	nervous system disorder	True	ENSP00000234488;ENSP00000261622;ENSP00000263980;ENSP00000264932;ENSP00000280772;ENSP00000286628;ENSP00000287295;ENSP00000288139;ENSP00000299166;ENSP00000303540;ENSP00000345728;ENSP00000358033;ENSP00000368486;ENSP00000377148;ENSP00000420608;ENSP00000493594;ENSP00000494750	CLCN6;SLC7A5;SLC9A1;SDHA;ANK3;KCNMA1;AIFM1;CACNA1D;NDUFB8;SCN1A;ATP7A;PDSS2;ZFX;AP1G1;EMC1;MYH14;ACTB	48;507;99;79;95;102;120;94;232;91;147;51;70;297;45;46
ENSG00000163399	ATP1A1	ENSP00000358508	MONDO_0054833	charcot-marie-tooth disease, axonal, type 2DD	MONDO_0005071	nervous system disorder	True	ENSP00000234488;ENSP00000261622;ENSP00000263980;ENSP00000264932;ENSP00000280772;ENSP00000286628;ENSP00000287295;ENSP00000288139;ENSP00000299166;ENSP00000303540;ENSP00000345728;ENSP00000358033;ENSP00000368486;ENSP00000377148;ENSP00000420608;ENSP00000493594;ENSP00000494750	CLCN6;SLC7A5;SLC9A1;SDHA;ANK3;KCNMA1;AIFM1;CACNA1D;NDUFB8;SCN1A;ATP7A;PDSS2;ZFX;AP1G1;EMC1;MYH14;ACTB	48;507;99;79;95;102;120;94;232;91;147;51;70;297;45;46
ENSG00000173915	ATP5MK	ENSP00000358840	MONDO_0009723	Leigh syndrome	MONDO_0021147	disorder of development or morphogenesis	False	ENSP00000263774;ENSP00000264932;ENSP00000319817	NDUFS3;SDHA;OPA3	96;97;224
ENSG00000173915	ATP5MK	ENSP00000358840	MONDO_0009723	Leigh syndrome	MONDO_0005071	nervous system disorder	True	ENSP00000263774;ENSP00000264932;ENSP00000319817;ENSP00000356233	NDUFS3;SDHA;OPA3;KDM5B	96;97;224;494
ENSG00000173915	ATP5MK	ENSP00000358826	MONDO_0009723	Leigh syndrome	MONDO_0021147	disorder of development or morphogenesis	False	ENSP00000263774;ENSP00000264932;ENSP00000319817	NDUFS3;SDHA;OPA3	96;97;224
ENSG00000173915	ATP5MK	ENSP00000358826	MONDO_0009723	Leigh syndrome	MONDO_0005071	nervous system disorder	True	ENSP00000263774;ENSP00000264932;ENSP00000319817;ENSP00000356233	NDUFS3;SDHA;OPA3;KDM5B	96;97;224;494
ENSG00000173915	ATP5MK	ENSP00000311245	MONDO_0009723	Leigh syndrome	MONDO_0021147	disorder of development or morphogenesis	False	ENSP00000263774;ENSP00000264932;ENSP00000319817	NDUFS3;SDHA;OPA3	96;97;224
ENSG00000173915	ATP5MK	ENSP00000311245	MONDO_0009723	Leigh syndrome	MONDO_0005071	nervous system disorder	True	ENSP00000263774;ENSP00000264932;ENSP00000319817;ENSP00000356233	NDUFS3;SDHA;OPA3;KDM5B	96;97;224;494
ENSG00000173915	ATP5MK	ENSP00000337705	MONDO_0009723	Leigh syndrome	MONDO_0021147	disorder of development or morphogenesis	False	ENSP00000263774;ENSP00000264932;ENSP00000319817	NDUFS3;SDHA;OPA3	96;97;224
ENSG00000173915	ATP5MK	ENSP00000337705	MONDO_0009723	Leigh syndrome	MONDO_0005071	nervous system disorder	True	ENSP00000263774;ENSP00000264932;ENSP00000319817;ENSP00000356233	NDUFS3;SDHA;OPA3;KDM5B	96;97;224;494
ENSG00000173915	ATP5MK	ENSP00000358830	MONDO_0009723	Leigh syndrome	MONDO_0021147	disorder of development or morphogenesis	False	ENSP00000263774;ENSP00000264932;ENSP00000319817	NDUFS3;SDHA;OPA3	96;97;224
ENSG00000173915	ATP5MK	ENSP00000358830	MONDO_0009723	Leigh syndrome	MONDO_0005071	nervous system disorder	True	ENSP00000263774;ENSP00000264932;ENSP00000319817;ENSP00000356233	NDUFS3;SDHA;OPA3;KDM5B	96;97;224;494
ENSG00000165240	ATP7A	ENSP00000345728	MONDO_0010338	X-linked distal spinal muscular atrophy type 3	MONDO_0005071	nervous system disorder	False	ENSP00000354111;ENSP00000368486;ENSP00000420387;ENSP00000445306	DNAJC5;ZFX;ATP11A;ATP1A1	165;47;91
