	gene_name	hgnc_id	disease_label	mondo_disease_id	classification	chromosome	start	end	strand	gene_id	transcript_id	protein_id	uniprot_id	entrez_id	mondo_ancestor_id	ancestor_label	case/control
41	ABCD1	HGNC:61	adrenoleukodystrophy	MONDO_0018544	Definitive	X	153724856.0	153744755.0	+	ENSG00000101986	ENST00000218104	ENSP00000218104	P33897	215	MONDO_0002025	psychiatric disorder	case
42	ABCD1	HGNC:61	adrenoleukodystrophy	MONDO_0018544	Definitive	X	153724856.0	153744755.0	+	ENSG00000101986	ENST00000218104	ENSP00000218104	P33897	215	MONDO_0005071	nervous system disorder	case
43	ABCD4	HGNC:68	methylmalonic acidemia with homocystinuria, type cblJ	MONDO_0013925	Moderate	14	74285269.0	74303055.0	-	ENSG00000119688	ENST00000356924	ENSP00000349396	O14678	5826	MONDO_0005570	hematologic disorder	control
44	ABCG5	HGNC:13886	sitosterolemia	MONDO_0008863	Definitive	2	43812472.0	43838865.0	-	ENSG00000138075	ENST00000405322	ENSP00000384513	Q9H222	64240			case
45	ABCG8	HGNC:13887	sitosterolemia	MONDO_0008863	Definitive	2	43831942.0	43882988.0	+	ENSG00000143921	ENST00000272286	ENSP00000272286	Q9H221	64241			case
46	ABHD12	HGNC:15868	PHARC syndrome	MONDO_0012984	Definitive	20	25294742.0	25390835.0	-	ENSG00000100997	ENST00000376542	ENSP00000365725	Q8N2K0	26090	MONDO_0005071	nervous system disorder	case
47	ABHD12	HGNC:15868	PHARC syndrome	MONDO_0012984	Definitive	20	25294742.0	25390835.0	-	ENSG00000100997	ENST00000339157	ENSP00000341408	Q8N2K0	26090	MONDO_0005071	nervous system disorder	case
48	ABHD5	HGNC:21396	Dorfman-Chanarin disease	MONDO_0010155	Definitive	3	43690108.0	43734371.0	+	ENSG00000011198	ENST00000644371	ENSP00000495778	Q8WTS1	51099			case
49	ABHD5	HGNC:21396	Dorfman-Chanarin disease	MONDO_0010155	Definitive	3	43690108.0	43734371.0	+	ENSG00000011198	ENST00000649763	ENSP00000497701	Q8WTS1	51099			case
50	ACAD8	HGNC:87	isobutyryl-CoA dehydrogenase deficiency	MONDO_0012648	Definitive	11	134253548.0	134265855.0	+	ENSG00000151498	ENST00000374752	ENSP00000363884	Q9UKU7	27034			case
51	ACAD8	HGNC:87	isobutyryl-CoA dehydrogenase deficiency	MONDO_0012648	Definitive	11	134253548.0	134265855.0	+	ENSG00000151498	ENST00000281182	ENSP00000281182	Q9UKU7	27034			case
52	ACAD9	HGNC:21497	acyl-CoA dehydrogenase 9 deficiency	MONDO_0012624	Definitive	3	128879596.0	128924003.0	+	ENSG00000177646	ENST00000681583	ENSP00000506340	Q9H845	28976			case
53	ACAD9	HGNC:21497	acyl-CoA dehydrogenase 9 deficiency	MONDO_0012624	Definitive	3	128879596.0	128924003.0	+	ENSG00000177646	ENST00000308982	ENSP00000312618	Q9H845	28976			case
54	ACADM	HGNC:89	medium chain acyl-CoA dehydrogenase deficiency	MONDO_0008721	Definitive	1	75724431.0	75787575.0	+	ENSG00000117054	ENST00000370841	ENSP00000359878	P11310	34			case
55	ACADM	HGNC:89	medium chain acyl-CoA dehydrogenase deficiency	MONDO_0008721	Definitive	1	75724431.0	75787575.0	+	ENSG00000117054	ENST00000420607	ENSP00000409612	P11310	34			case
56	ACADS	HGNC:90	short chain acyl-CoA dehydrogenase deficiency	MONDO_0008722	Definitive	12	120725774.0	120740008.0	+	ENSG00000122971	ENST00000242592	ENSP00000242592	P16219	35			case
57	ACADSB	HGNC:91	2-methylbutyryl-CoA dehydrogenase deficiency	MONDO_0012392	Definitive	10	123008979.0	123058290.0	+	ENSG00000196177	ENST00000368869	ENSP00000357862	P45954	36			case
58	ACADSB	HGNC:91	2-methylbutyryl-CoA dehydrogenase deficiency	MONDO_0012392	Definitive	10	123008979.0	123058290.0	+	ENSG00000196177	ENST00000358776	ENSP00000357873	P45954	36			case
59	ACADVL	HGNC:92	very long chain acyl-CoA dehydrogenase deficiency	MONDO_0008723	Definitive	17	7217125.0	7225266.0	+	ENSG00000072778	ENST00000543245	ENSP00000438689	P49748	37	MONDO_0002081	musculoskeletal system disorder	case
60	ACADVL	HGNC:92	very long chain acyl-CoA dehydrogenase deficiency	MONDO_0008723	Definitive	17	7217125.0	7225266.0	+	ENSG00000072778	ENST00000543245	ENSP00000438689	P49748	37	MONDO_0004995	cardiovascular disorder	case
61	ACADVL	HGNC:92	very long chain acyl-CoA dehydrogenase deficiency	MONDO_0008723	Definitive	17	7217125.0	7225266.0	+	ENSG00000072778	ENST00000350303	ENSP00000344152	P49748	37	MONDO_0002081	musculoskeletal system disorder	case
62	ACADVL	HGNC:92	very long chain acyl-CoA dehydrogenase deficiency	MONDO_0008723	Definitive	17	7217125.0	7225266.0	+	ENSG00000072778	ENST00000350303	ENSP00000344152	P49748	37	MONDO_0004995	cardiovascular disorder	case
63	ACADVL	HGNC:92	very long chain acyl-CoA dehydrogenase deficiency	MONDO_0008723	Definitive	17	7217125.0	7225266.0	+	ENSG00000072778	ENST00000356839	ENSP00000349297	P49748	37	MONDO_0002081	musculoskeletal system disorder	case
64	ACADVL	HGNC:92	very long chain acyl-CoA dehydrogenase deficiency	MONDO_0008723	Definitive	17	7217125.0	7225266.0	+	ENSG00000072778	ENST00000356839	ENSP00000349297	P49748	37	MONDO_0004995	cardiovascular disorder	case
65	ACAT1	HGNC:93	beta-ketothiolase deficiency	MONDO_0008760	Definitive	11	108116695.0	108148957.0	+	ENSG00000075239	ENST00000299355	ENSP00000299355	P24752	38			case
66	ACAT1	HGNC:93	beta-ketothiolase deficiency	MONDO_0008760	Definitive	11	108116695.0	108148957.0	+	ENSG00000075239	ENST00000265838	ENSP00000265838	P24752	38			case
67	ACAT2	HGNC:94	acetyl-CoA acetyltransferase-2 deficiency	MONDO_0013548	No Known Disease Relationship	6	159762045.0	159779112.0	+	ENSG00000120437	ENST00000367048	ENSP00000356015	Q9BWD1	39			control
68	ACD	HGNC:25070	ACD-related short telomere syndrome	MONDO_0100569	Definitive	16	67657512.0	67660810.0	-	ENSG00000102977	ENST00000620761	ENSP00000478084	Q96AP0	65057			case
69	ACD	HGNC:25070	ACD-related short telomere syndrome	MONDO_0100569	Definitive	16	67657512.0	67660810.0	-	ENSG00000102977	ENST00000219251	ENSP00000219251	Q96AP0	65057			case
70	ACO2	HGNC:118	mitochondrial disease	MONDO_0044970	Strong	22	41447830.0	41529273.0	+	ENSG00000100412	ENST00000216254	ENSP00000216254	Q99798	50			case
71	ACO2	HGNC:118	mitochondrial disease	MONDO_0044970	Definitive	22	41447830.0	41529273.0	+	ENSG00000100412	ENST00000216254	ENSP00000216254	Q99798	50			case
72	ACOX1	HGNC:119	Mitchell syndrome	MONDO_0030073	Strong	17	75941507.0	75979177.0	-	ENSG00000161533	ENST00000293217	ENSP00000293217	Q15067	51			case
73	ACOX1	HGNC:119	Mitchell syndrome	MONDO_0030073	Strong	17	75941507.0	75979177.0	-	ENSG00000161533	ENST00000301608	ENSP00000301608	Q15067	51			case
74	ACOX1	HGNC:119	peroxisomal acyl-CoA oxidase deficiency	MONDO_0009919	Definitive	17	75941507.0	75979177.0	-	ENSG00000161533	ENST00000293217	ENSP00000293217	Q15067	51			case
75	ACOX1	HGNC:119	peroxisomal acyl-CoA oxidase deficiency	MONDO_0009919	Definitive	17	75941507.0	75979177.0	-	ENSG00000161533	ENST00000301608	ENSP00000301608	Q15067	51			case
76	ACSF3	HGNC:27288	combined malonic and methylmalonic acidemia	MONDO_0013661	Definitive	16	89088375.0	89164121.0	+	ENSG00000176715	ENST00000317447	ENSP00000320646	Q4G176	197322			case
77	ACSF3	HGNC:27288	combined malonic and methylmalonic acidemia	MONDO_0013661	Definitive	16	89088375.0	89164121.0	+	ENSG00000176715	ENST00000614302	ENSP00000479130	Q4G176	197322			case
78	ACSF3	HGNC:27288	combined malonic and methylmalonic acidemia	MONDO_0013661	Definitive	16	89088375.0	89164121.0	+	ENSG00000176715	ENST00000406948	ENSP00000384627	Q4G176	197322			case
79	ACSL4	HGNC:3571	non-syndromic X-linked intellectual disability	MONDO_0019181	Definitive	X	109624244.0	109733403.0	-	ENSG00000068366	ENST00000469796	ENSP00000419171	O60488	2182	MONDO_0002025	psychiatric disorder	case
80	ACSL4	HGNC:3571	non-syndromic X-linked intellectual disability	MONDO_0019181	Definitive	X	109624244.0	109733403.0	-	ENSG00000068366	ENST00000469796	ENSP00000419171	O60488	2182	MONDO_0005071	nervous system disorder	case
81	ACSL4	HGNC:3571	non-syndromic X-linked intellectual disability	MONDO_0019181	Definitive	X	109624244.0	109733403.0	-	ENSG00000068366	ENST00000672401	ENSP00000500273	O60488	2182	MONDO_0002025	psychiatric disorder	case
82	ACSL4	HGNC:3571	non-syndromic X-linked intellectual disability	MONDO_0019181	Definitive	X	109624244.0	109733403.0	-	ENSG00000068366	ENST00000672401	ENSP00000500273	O60488	2182	MONDO_0005071	nervous system disorder	case
83	ACSL4	HGNC:3571	non-syndromic X-linked intellectual disability	MONDO_0019181	Definitive	X	109624244.0	109733403.0	-	ENSG00000068366	ENST00000340800	ENSP00000339787	O60488	2182	MONDO_0002025	psychiatric disorder	case
84	ACSL4	HGNC:3571	non-syndromic X-linked intellectual disability	MONDO_0019181	Definitive	X	109624244.0	109733403.0	-	ENSG00000068366	ENST00000340800	ENSP00000339787	O60488	2182	MONDO_0005071	nervous system disorder	case
85	ACSL4	HGNC:3571	non-syndromic X-linked intellectual disability	MONDO_0019181	Definitive	X	109624244.0	109733403.0	-	ENSG00000068366	ENST00000348502	ENSP00000262835	O60488	2182	MONDO_0002025	psychiatric disorder	case
86	ACSL4	HGNC:3571	non-syndromic X-linked intellectual disability	MONDO_0019181	Definitive	X	109624244.0	109733403.0	-	ENSG00000068366	ENST00000348502	ENSP00000262835	O60488	2182	MONDO_0005071	nervous system disorder	case
87	ACSL4	HGNC:3571	non-syndromic X-linked intellectual disability	MONDO_0019181	Definitive	X	109624244.0	109733403.0	-	ENSG00000068366	ENST00000671846	ENSP00000500897	O60488	2182	MONDO_0002025	psychiatric disorder	case
88	ACSL4	HGNC:3571	non-syndromic X-linked intellectual disability	MONDO_0019181	Definitive	X	109624244.0	109733403.0	-	ENSG00000068366	ENST00000671846	ENSP00000500897	O60488	2182	MONDO_0005071	nervous system disorder	case
89	ACSL4	HGNC:3571	non-syndromic X-linked intellectual disability	MONDO_0019181	Definitive	X	109624244.0	109733403.0	-	ENSG00000068366	ENST00000672282	ENSP00000500678	O60488	2182	MONDO_0002025	psychiatric disorder	case
90	ACSL4	HGNC:3571	non-syndromic X-linked intellectual disability	MONDO_0019181	Definitive	X	109624244.0	109733403.0	-	ENSG00000068366	ENST00000672282	ENSP00000500678	O60488	2182	MONDO_0005071	nervous system disorder	case
91	ACSL4	HGNC:3571	non-syndromic X-linked intellectual disability	MONDO_0019181	Definitive	X	109624244.0	109733403.0	-	ENSG00000068366	ENST00000502391	ENSP00000425408	O60488	2182	MONDO_0002025	psychiatric disorder	case
92	ACSL4	HGNC:3571	non-syndromic X-linked intellectual disability	MONDO_0019181	Definitive	X	109624244.0	109733403.0	-	ENSG00000068366	ENST00000502391	ENSP00000425408	O60488	2182	MONDO_0005071	nervous system disorder	case
93	ACSL4	HGNC:3571	non-syndromic X-linked intellectual disability	MONDO_0019181	Definitive	X	109624244.0	109733403.0	-	ENSG00000068366	ENST00000673016	ENSP00000499969	O60488	2182	MONDO_0002025	psychiatric disorder	case
94	ACSL4	HGNC:3571	non-syndromic X-linked intellectual disability	MONDO_0019181	Definitive	X	109624244.0	109733403.0	-	ENSG00000068366	ENST00000673016	ENSP00000499969	O60488	2182	MONDO_0005071	nervous system disorder	case
95	ACTA1	HGNC:129	alpha-actinopathy	MONDO_0100084	Definitive	1	229430365.0	229434104.0	-	ENSG00000143632	ENST00000366684	ENSP00000355645	P68133	58	MONDO_0002081	musculoskeletal system disorder	case
96	ACTA1	HGNC:129	alpha-actinopathy	MONDO_0100084	Definitive	1	229430365.0	229434104.0	-	ENSG00000143632	ENST00000366684	ENSP00000355645	P68133	58	MONDO_0005071	nervous system disorder	case
97	ACTA1	HGNC:129	alpha-actinopathy	MONDO_0100084	Definitive	1	229430365.0	229434104.0	-	ENSG00000143632	ENST00000366684	ENSP00000355645	P68133	58	MONDO_0002081	musculoskeletal system disorder	case
98	ACTA1	HGNC:129	alpha-actinopathy	MONDO_0100084	Definitive	1	229430365.0	229434104.0	-	ENSG00000143632	ENST00000366684	ENSP00000355645	P68133	58	MONDO_0005071	nervous system disorder	case
99	ACTB	HGNC:132	Baraitser-Winter cerebrofrontofacial syndrome	MONDO_0017579	Definitive	7	5526409.0	5563902.0	-	ENSG00000075624	ENST00000674681	ENSP00000502821	P60709	60	MONDO_0021147	disorder of development or morphogenesis	case
100	ACTB	HGNC:132	Baraitser-Winter cerebrofrontofacial syndrome	MONDO_0017579	Definitive	7	5526409.0	5563902.0	-	ENSG00000075624	ENST00000674681	ENSP00000502821	P60709	60	MONDO_0005071	nervous system disorder	case
101	ACTB	HGNC:132	Baraitser-Winter cerebrofrontofacial syndrome	MONDO_0017579	Definitive	7	5526409.0	5563902.0	-	ENSG00000075624	ENST00000642480	ENSP00000495995	P60709	60	MONDO_0021147	disorder of development or morphogenesis	case
102	ACTB	HGNC:132	Baraitser-Winter cerebrofrontofacial syndrome	MONDO_0017579	Definitive	7	5526409.0	5563902.0	-	ENSG00000075624	ENST00000642480	ENSP00000495995	P60709	60	MONDO_0005071	nervous system disorder	case
103	ACTB	HGNC:132	Baraitser-Winter cerebrofrontofacial syndrome	MONDO_0017579	Definitive	7	5526409.0	5563902.0	-	ENSG00000075624	ENST00000646664	ENSP00000494750	P60709	60	MONDO_0021147	disorder of development or morphogenesis	case
104	ACTB	HGNC:132	Baraitser-Winter cerebrofrontofacial syndrome	MONDO_0017579	Definitive	7	5526409.0	5563902.0	-	ENSG00000075624	ENST00000646664	ENSP00000494750	P60709	60	MONDO_0005071	nervous system disorder	case
105	ACTB	HGNC:132	Baraitser-Winter cerebrofrontofacial syndrome	MONDO_0017579	Definitive	7	5526409.0	5563902.0	-	ENSG00000075624	ENST00000675515	ENSP00000501862	P60709	60	MONDO_0021147	disorder of development or morphogenesis	case
106	ACTB	HGNC:132	Baraitser-Winter cerebrofrontofacial syndrome	MONDO_0017579	Definitive	7	5526409.0	5563902.0	-	ENSG00000075624	ENST00000675515	ENSP00000501862	P60709	60	MONDO_0005071	nervous system disorder	case
107	ACTB	HGNC:132	Baraitser-Winter cerebrofrontofacial syndrome	MONDO_0017579	Definitive	7	5526409.0	5563902.0	-	ENSG00000075624	ENST00000493945	ENSP00000494269	P60709	60	MONDO_0021147	disorder of development or morphogenesis	case
108	ACTB	HGNC:132	Baraitser-Winter cerebrofrontofacial syndrome	MONDO_0017579	Definitive	7	5526409.0	5563902.0	-	ENSG00000075624	ENST00000493945	ENSP00000494269	P60709	60	MONDO_0005071	nervous system disorder	case
109	ACTC1	HGNC:143	hypertrophic cardiomyopathy	MONDO_0005045	Definitive	15	34790107.0	34795589.0	-	ENSG00000159251	ENST00000290378	ENSP00000290378	P68032	70	MONDO_0002081	musculoskeletal system disorder	case
110	ACTC1	HGNC:143	hypertrophic cardiomyopathy	MONDO_0005045	Definitive	15	34790107.0	34795589.0	-	ENSG00000159251	ENST00000290378	ENSP00000290378	P68032	70	MONDO_0004995	cardiovascular disorder	case
111	ACTC1	HGNC:143	arrhythmogenic right ventricular cardiomyopathy	MONDO_0016587	No Known Disease Relationship	15	34790107.0	34795589.0	-	ENSG00000159251	ENST00000290378	ENSP00000290378	P68032	70	MONDO_0002081	musculoskeletal system disorder	control
112	ACTC1	HGNC:143	arrhythmogenic right ventricular cardiomyopathy	MONDO_0016587	No Known Disease Relationship	15	34790107.0	34795589.0	-	ENSG00000159251	ENST00000290378	ENSP00000290378	P68032	70	MONDO_0004995	cardiovascular disorder	control
113	ACTG1	HGNC:144	Baraitser-winter syndrome 2	MONDO_0013812	Definitive	17	81509413.0	81523847.0	-	ENSG00000184009	ENST00000681052	ENSP00000505060	P63261	71	MONDO_0021147	disorder of development or morphogenesis	case
114	ACTG1	HGNC:144	Baraitser-winter syndrome 2	MONDO_0013812	Definitive	17	81509413.0	81523847.0	-	ENSG00000184009	ENST00000681052	ENSP00000505060	P63261	71	MONDO_0005071	nervous system disorder	case
115	ACTG1	HGNC:144	Baraitser-winter syndrome 2	MONDO_0013812	Definitive	17	81509413.0	81523847.0	-	ENSG00000184009	ENST00000576544	ENSP00000461672	P63261	71	MONDO_0021147	disorder of development or morphogenesis	case
116	ACTG1	HGNC:144	Baraitser-winter syndrome 2	MONDO_0013812	Definitive	17	81509413.0	81523847.0	-	ENSG00000184009	ENST00000576544	ENSP00000461672	P63261	71	MONDO_0005071	nervous system disorder	case
117	ACTG1	HGNC:144	Baraitser-winter syndrome 2	MONDO_0013812	Definitive	17	81509413.0	81523847.0	-	ENSG00000184009	ENST00000573283	ENSP00000458435	P63261	71	MONDO_0021147	disorder of development or morphogenesis	case
118	ACTG1	HGNC:144	Baraitser-winter syndrome 2	MONDO_0013812	Definitive	17	81509413.0	81523847.0	-	ENSG00000184009	ENST00000573283	ENSP00000458435	P63261	71	MONDO_0005071	nervous system disorder	case
119	ACTG1	HGNC:144	Baraitser-winter syndrome 2	MONDO_0013812	Definitive	17	81509413.0	81523847.0	-	ENSG00000184009	ENST00000681842	ENSP00000506126	P63261	71	MONDO_0021147	disorder of development or morphogenesis	case
120	ACTG1	HGNC:144	Baraitser-winter syndrome 2	MONDO_0013812	Definitive	17	81509413.0	81523847.0	-	ENSG00000184009	ENST00000681842	ENSP00000506126	P63261	71	MONDO_0005071	nervous system disorder	case
121	ACTG1	HGNC:144	Baraitser-winter syndrome 2	MONDO_0013812	Definitive	17	81509413.0	81523847.0	-	ENSG00000184009	ENST00000679480	ENSP00000506201	P63261	71	MONDO_0021147	disorder of development or morphogenesis	case
122	ACTG1	HGNC:144	Baraitser-winter syndrome 2	MONDO_0013812	Definitive	17	81509413.0	81523847.0	-	ENSG00000184009	ENST00000679480	ENSP00000506201	P63261	71	MONDO_0005071	nervous system disorder	case
123	ACTG1	HGNC:144	Baraitser-winter syndrome 2	MONDO_0013812	Definitive	17	81509413.0	81523847.0	-	ENSG00000184009	ENST00000570382	ENSP00000466346	P63261	71	MONDO_0021147	disorder of development or morphogenesis	case
124	ACTG1	HGNC:144	Baraitser-winter syndrome 2	MONDO_0013812	Definitive	17	81509413.0	81523847.0	-	ENSG00000184009	ENST00000570382	ENSP00000466346	P63261	71	MONDO_0005071	nervous system disorder	case
