gene_id	gene_name	disease_label	mondo_disease_id	efo_ancestor_id	efo_ancestor_label	gwas_association	gwas_id_efo	gwas_label	l2g_score
ENSG00000005339	CREBBP	Rubinstein-Taybi syndrome	MONDO_0019188	EFO_0000618	nervous system disease	False			
ENSG00000005339	CREBBP	Rubinstein-Taybi syndrome	MONDO_0019188	EFO_0009676	musculoskeletal system disease	False	EFO_0007490	spinal stenosis	0.3789701009261225
ENSG00000005339	CREBBP	Rubinstein-Taybi syndrome	MONDO_0019188	MONDO_0021147	disorder of development or morphogenesis	False			
ENSG00000005471	ABCB4	progressive familial intrahepatic cholestasis type 3	MONDO_0011214	EFO_0000405	digestive system disease	True	EFO_0004799;EFO_0009048;EFO_0003832;EFO_0009150;EFO_0001421;EFO_0004210;EFO_0004606	cholelithiasis;Intrahepatic cholestasis of pregnancy;gallbladder disease;cholestasis, intrahepatic, of pregnancy 3;liver disease;gallstones;gallbladder neoplasm	0.6611319620080108;0.572216710719562;0.6142000306238172;0.9313857566558887;0.8628526359730008;0.9138102978610103;0.8076481186562883
ENSG00000005471	ABCB4	progressive familial intrahepatic cholestasis type 3	MONDO_0011214	EFO_0001379	endocrine system disease	True	EFO_0001421;EFO_0004606;EFO_1000973	liver disease;gallbladder neoplasm;hyperpituitarism	0.8628526359730008;0.8076481186562883;0.2993138236744548
ENSG00000005483	KMT2E	complex neurodevelopmental disorder	MONDO_0100038	EFO_0000618	nervous system disease	True	EFO_0004683;MONDO_0100114;EFO_1001492;MONDO_0005090;EFO_0003888;EFO_0001365;EFO_1001998;EFO_0004698;EFO_0003756	wet macular degeneration;dry age related macular degeneration;atrophic macular degeneration;schizophrenia;attention deficit hyperactivity disorder;age-related macular degeneration;complex regional pain syndrome;insomnia;autism spectrum disorder	0.20564652727348434;0.4024474224712309;0.1575023888625692;0.7571239075367335;0.12040217392410703;0.6571157346578894;0.14396674969118423;0.1762963544295361
ENSG00000005884	ITGA3	epidermolysis bullosa, junctional 7, with interstitial lung disease and nephrotic syndrome	MONDO_0013881	EFO_0010285	integumentary system disease	False			
ENSG00000005889	ZFX	X-linked syndromic complex neurodevelopmental disorder	MONDO_1040018	EFO_0000618	nervous system disease	False			
ENSG00000005961	ITGA2B	Glanzmann thrombasthenia	MONDO_0100326	EFO_0005803	hematologic disease	False			
ENSG00000005961	ITGA2B	platelet-type bleeding disorder 16	MONDO_0008552	EFO_0005803	hematologic disease	False			
ENSG00000006062	MAP3K14	NIK deficiency	MONDO_0018642	EFO_0000540	immune system disease	True	EFO_0000274;EFO_0005854;MONDO_0005147;MONDO_0004784;MONDO_0005301	atopic eczema;allergic rhinitis;type 1 diabetes mellitus;allergic asthma;multiple sclerosis	0.07168697660721562;0.05895457379400664;0.7762514774974809;0.06098612968158812;0.7548195787501077
ENSG00000006071	ABCC8	monogenic diabetes	MONDO_0015967	EFO_0000405	digestive system disease	False	MONDO_0005148;EFO_0000400	type 2 diabetes mellitus;diabetes mellitus	0.282060057547753;0.054772883087931705
ENSG00000006071	ABCC8	monogenic diabetes	MONDO_0015967	EFO_0001379	endocrine system disease	False	MONDO_0005148;EFO_0000400	type 2 diabetes mellitus;diabetes mellitus	0.282060057547753;0.054772883087931705
ENSG00000006071	ABCC8	pulmonary arterial hypertension	MONDO_0015924	EFO_0000319	cardiovascular disease	True	EFO_0004264;EFO_0000537;EFO_0003770;EFO_0001645	vascular disease;hypertension;diabetic retinopathy;coronary artery disease	0.37736525804781507;0.051414194867552394;0.9676891274411209;0.07372115987498506
ENSG00000006451	RALA	complex neurodevelopmental disorder	MONDO_0100038	EFO_0000618	nervous system disease	False	EFO_0004270	restless legs syndrome	0.4764745335405368
ENSG00000006611	USH1C	nonsyndromic genetic hearing loss	MONDO_0019497	EFO_0000618	nervous system disease	False			
ENSG00000006638	TBXA2R	qualitative platelet defect	MONDO_0001197	EFO_0005803	hematologic disease	False			
ENSG00000006695	COX10	Leigh syndrome	MONDO_0009723	EFO_0000618	nervous system disease	False			
ENSG00000006695	COX10	Leigh syndrome	MONDO_0009723	MONDO_0021147	disorder of development or morphogenesis	False			
ENSG00000007062	PROM1	PROM1-related recessive retinopathy	MONDO_1040052	EFO_0000524	head and neck disorder	False	MONDO_0004631	tongue cancer	0.11506834465915905
ENSG00000007062	PROM1	PROM1-related recessive retinopathy	MONDO_1040052	EFO_0000618	nervous system disease	False	MONDO_0004631	tongue cancer	0.11506834465915905
ENSG00000007062	PROM1	PROM1-related recessive retinopathy	MONDO_1040052	MONDO_0024458	disorder of visual system	False			
ENSG00000007174	DNAH9	ciliary dyskinesia, primary, 40	MONDO_0032664	EFO_0000684	respiratory system disease	False	MONDO_0004979	asthma	0.2679602201943216
ENSG00000007312	CD79B	agammaglobulinemia 6, autosomal recessive	MONDO_0012987	EFO_0000540	immune system disease	False	EFO_0000729	ulcerative colitis	0.05399786782725081
ENSG00000007312	CD79B	agammaglobulinemia 6, autosomal recessive	MONDO_0012987	EFO_0005803	hematologic disease	False			
ENSG00000007314	SCN4A	SCN4A-related myopathy, autosomal recessive	MONDO_0100121	EFO_0009676	musculoskeletal system disease	True	EFO_0002970	muscular disease	0.6903892589044243
ENSG00000007372	PAX6	PAX6-related ocular dysgenesis	MONDO_0800183	EFO_0000524	head and neck disorder	False			
ENSG00000007372	PAX6	PAX6-related ocular dysgenesis	MONDO_0800183	EFO_0000618	nervous system disease	True	EFO_0004698;MONDO_0002009;EFO_0004257;EFO_0003888	insomnia;major depressive disorder;neurotic disorder;attention deficit hyperactivity disorder	0.41573026518023615;0.9017873733428863;0.9502663808461493;0.9342156576099042
ENSG00000007372	PAX6	PAX6-related ocular dysgenesis	MONDO_0800183	EFO_0009690	urinary system disease	True	MONDO_0007915	systemic lupus erythematosus	0.5969076593413594
ENSG00000007372	PAX6	PAX6-related ocular dysgenesis	MONDO_0800183	MONDO_0024458	disorder of visual system	False			
ENSG00000007372	PAX6	PAX6-related ocular dysgenesis	MONDO_0800183	MONDO_0045024	cancer or benign tumor	False	EFO_0003893	ovarian neoplasm	0.3258068006150434
ENSG00000007402	CACNA2D2	complex neurodevelopmental disorder	MONDO_0100038	EFO_0000618	nervous system disease	False	MONDO_0004985;MONDO_0005090;MONDO_0021765;EFO_0006788;MONDO_0002050	bipolar disorder;schizophrenia;radiculitis;anxiety disorder;depressive disorder	0.3877340656573353;0.14535500487570258;0.11697789632981123;0.35529667701951817;0.06155474660204588
ENSG00000007541	PIGQ	developmental and epileptic encephalopathy, 77	MONDO_0032808	EFO_0000618	nervous system disease	False			
ENSG00000007541	PIGQ	developmental and epileptic encephalopathy, 77	MONDO_0032808	MONDO_0021147	disorder of development or morphogenesis	False			
ENSG00000008056	SYN1	X-linked complex neurodevelopmental disorder	MONDO_0100148	EFO_0000618	nervous system disease	False			
ENSG00000008196	TFAP2B	Char syndrome	MONDO_0008209	EFO_0000319	cardiovascular disease	True	EFO_0001645;EFO_0003144;EFO_0004287;EFO_0000537;EFO_0000668	coronary artery disease;heart failure;ventricular fibrillation;hypertension;preeclampsia	0.9026609611661456;0.9184376852820446;0.3413911056015993;0.4189024236562168;0.06093841195999188
ENSG00000008196	TFAP2B	Char syndrome	MONDO_0008209	MONDO_0021147	disorder of development or morphogenesis	True	EFO_0000389	cutaneous melanoma	0.9184376852820446
ENSG00000008441	NFIX	Malan overgrowth syndrome	MONDO_0013885	MONDO_0021147	disorder of development or morphogenesis	False			
ENSG00000008441	NFIX	Marshall-Smith syndrome	MONDO_0011244	EFO_0009676	musculoskeletal system disease	False	MONDO_0005178	osteoarthritis	0.07879015997726993
ENSG00000008441	NFIX	Marshall-Smith syndrome	MONDO_0011244	MONDO_0021147	disorder of development or morphogenesis	False			
ENSG00000008710	PKD1	autosomal dominant polycystic kidney disease	MONDO_0004691	EFO_0009690	urinary system disease	False			
ENSG00000008710	PKD1	autosomal recessive polycystic kidney disease	MONDO_0009889	EFO_0009690	urinary system disease	False			
ENSG00000008853	RHOBTB2	complex neurodevelopmental disorder	MONDO_0100038	EFO_0000618	nervous system disease	False			
ENSG00000008988	RPS20	Lynch syndrome	MONDO_0005835	EFO_0000405	digestive system disease	False			
ENSG00000008988	RPS20	Lynch syndrome	MONDO_0005835	MONDO_0045024	cancer or benign tumor	False			
ENSG00000009307	CSDE1	complex neurodevelopmental disorder	MONDO_0100038	EFO_0000618	nervous system disease	False			
ENSG00000009709	PAX7	congenital myopathy with myasthenic-like onset	MONDO_0018528	EFO_0000618	nervous system disease	True	MONDO_0001703;EFO_0009606	color vision disorder;macular degeneration	0.8345456098731455;0.1312311935547542
ENSG00000009709	PAX7	congenital myopathy with myasthenic-like onset	MONDO_0018528	EFO_0009676	musculoskeletal system disease	True	MONDO_0000358	orofacial cleft	0.9026431456208645
ENSG00000009830	POMT2	myopathy caused by variation in POMT2	MONDO_0700071	EFO_0000618	nervous system disease	False			
ENSG00000009830	POMT2	myopathy caused by variation in POMT2	MONDO_0700071	EFO_0009676	musculoskeletal system disease	False			
ENSG00000010404	IDS	mucopolysaccharidosis type 2	MONDO_0010674	EFO_0009676	musculoskeletal system disease	False	EFO_0005423	adolescent idiopathic scoliosis	0.057094001541362
ENSG00000010404	IDS	mucopolysaccharidosis type 2	MONDO_0010674	MONDO_0021147	disorder of development or morphogenesis	False			
ENSG00000010671	BTK	Bruton-type agammaglobulinemia	MONDO_0010421	EFO_0000540	immune system disease	False			
ENSG00000010671	BTK	Bruton-type agammaglobulinemia	MONDO_0010421	EFO_0005803	hematologic disease	False			
ENSG00000010671	BTK	isolated growth hormone deficiency type III	MONDO_0010615	EFO_0000512	reproductive system disease	False			
ENSG00000010671	BTK	isolated growth hormone deficiency type III	MONDO_0010615	EFO_0000618	nervous system disease	False			
ENSG00000010671	BTK	isolated growth hormone deficiency type III	MONDO_0010615	EFO_0001379	endocrine system disease	False			
ENSG00000011021	CLCN6	neurodegeneration, childhood-onset, with hypotonia, respiratory insufficiency, and brain imaging abnormalities	MONDO_0030947	EFO_0000618	nervous system disease	False	MONDO_0002009;MONDO_0016820;MONDO_0005301;MONDO_0005090	major depressive disorder;Moyamoya disease;multiple sclerosis;schizophrenia	0.20283851926724714;0.0739123131227785;0.05072890809494644
ENSG00000011201	ANOS1	hypogonadotropic hypogonadism 1 with or without anosmia	MONDO_0010635	EFO_0000512	reproductive system disease	False			
ENSG00000011201	ANOS1	hypogonadotropic hypogonadism 1 with or without anosmia	MONDO_0010635	EFO_0001379	endocrine system disease	False			
ENSG00000011295	TTC19	Leigh syndrome	MONDO_0009723	EFO_0000618	nervous system disease	False			
ENSG00000011295	TTC19	Leigh syndrome	MONDO_0009723	MONDO_0021147	disorder of development or morphogenesis	False			
ENSG00000011376	LARS2	Perrault syndrome	MONDO_0017312	EFO_0000512	reproductive system disease	False			
ENSG00000011376	LARS2	Perrault syndrome	MONDO_0017312	EFO_0001379	endocrine system disease	False			
ENSG00000011376	LARS2	Perrault syndrome	MONDO_0017312	MONDO_0021147	disorder of development or morphogenesis	False			
ENSG00000012048	BRCA1	BRCA1-related cancer predisposition	MONDO_0700268	MONDO_0045024	cancer or benign tumor	True	EFO_0001061;EFO_0003893	cervical carcinoma;ovarian neoplasm	0.5707775288723683;0.5539433623294324
ENSG00000012048	BRCA1	Fanconi anemia, complementation group S	MONDO_0054748	EFO_0000540	immune system disease	False			
ENSG00000012048	BRCA1	Fanconi anemia, complementation group S	MONDO_0054748	EFO_0005803	hematologic disease	False			
ENSG00000012048	BRCA1	Fanconi anemia, complementation group S	MONDO_0054748	EFO_0009676	musculoskeletal system disease	False			
ENSG00000012048	BRCA1	Fanconi anemia, complementation group S	MONDO_0054748	MONDO_0021147	disorder of development or morphogenesis	False			
ENSG00000012174	MBTPS2	IFAP syndrome 1, with or without BRESHECK syndrome	MONDO_0100213	EFO_0010285	integumentary system disease	False	EFO_1000764	seborrheic dermatitis	0.11506834465915905
ENSG00000013288	MAN2B2	MAN2B2 deficiency	MONDO_0800141	EFO_0000540	immune system disease	False			
ENSG00000013573	DDX11	Warsaw breakage syndrome	MONDO_0013252	MONDO_0021147	disorder of development or morphogenesis	False			
ENSG00000014824	SLC30A9	psychomotor regression-oculomotor apraxia-movement disorder-nephropathy syndrome	MONDO_0044726	EFO_0000618	nervous system disease	True	MONDO_0002009;EFO_0004698;EFO_0003756;EFO_0003888	major depressive disorder;insomnia;autism spectrum disorder;attention deficit hyperactivity disorder	0.10928422554246858;0.29452625266391014;0.10788373792565709;0.7075173600534193
ENSG00000014824	SLC30A9	psychomotor regression-oculomotor apraxia-movement disorder-nephropathy syndrome	MONDO_0044726	EFO_0009690	urinary system disease	False			
ENSG00000014919	COX15	Leigh syndrome	MONDO_0009723	EFO_0000618	nervous system disease	False	MONDO_0005277	migraine disorder	0.06075360943735812
ENSG00000014919	COX15	Leigh syndrome	MONDO_0009723	MONDO_0021147	disorder of development or morphogenesis	False			
ENSG00000015171	ZMYND11	syndromic complex neurodevelopmental disorder	MONDO_0800439	EFO_0000618	nervous system disease	False			
ENSG00000015285	WAS	Wiskott-Aldrich syndrome	MONDO_0010518	EFO_0000540	immune system disease	False			
ENSG00000015285	WAS	Wiskott-Aldrich syndrome	MONDO_0010518	EFO_0005803	hematologic disease	False			
ENSG00000015285	WAS	Wiskott-Aldrich syndrome	MONDO_0010518	MONDO_0045024	cancer or benign tumor	False			
ENSG00000015285	WAS	X-linked severe congenital neutropenia	MONDO_0010294	EFO_0000540	immune system disease	False			
ENSG00000015285	WAS	X-linked severe congenital neutropenia	MONDO_0010294	EFO_0005803	hematologic disease	False			
ENSG00000015479	MATR3	distal myopathy with vocal cord weakness	MONDO_0018951	EFO_0000618	nervous system disease	False			
ENSG00000015479	MATR3	distal myopathy with vocal cord weakness	MONDO_0018951	EFO_0009676	musculoskeletal system disease	False			
ENSG00000016082	ISL1	congenital heart disease	MONDO_0005453	EFO_0000319	cardiovascular disease	True	EFO_0004264;EFO_0009552	vascular disease;hemorrhoid	0.6813913680326579;0.8851972532206275
ENSG00000016082	ISL1	congenital heart disease	MONDO_0005453	MONDO_0021147	disorder of development or morphogenesis	True	MONDO_0010805	bladder exstrophy	0.9015347668163335
ENSG00000016864	GLT8D1	amyotrophic lateral sclerosis	MONDO_0004976	EFO_0000618	nervous system disease	False	EFO_0009607;MONDO_0005090;EFO_0006788;EFO_0004143;EFO_0004247;EFO_0009963;EFO_0003888;MONDO_0002009	pituitary gland disease;schizophrenia;anxiety disorder;carpal tunnel syndrome;mood disorder;bipolar I disorder;attention deficit hyperactivity disorder;major depressive disorder	0.056776982393815276;0.13738076915412245;0.1462259073654819;0.16123778444111878;0.06676294126178034;0.0556471021728962;0.07309261471517559
ENSG00000018625	ATP1A2	hemiplegic migraine-developmental and epileptic encephalopathy spectrum	MONDO_0100539	EFO_0000319	cardiovascular disease	False			
ENSG00000018625	ATP1A2	hemiplegic migraine-developmental and epileptic encephalopathy spectrum	MONDO_0100539	EFO_0000618	nervous system disease	False	EFO_0003100	peripheral neuropathy	0.3877340656573353
ENSG00000019549	SNAI2	Waardenburg syndrome	MONDO_0018094	MONDO_0021147	disorder of development or morphogenesis	False			
ENSG00000019991	HGF	nonsyndromic genetic hearing loss	MONDO_0019497	EFO_0000618	nervous system disease	True	MONDO_0018899;EFO_0000326	posterior cortical atrophy;central nervous system cancer	0.2679602201943216;0.7320326985021253
ENSG00000020922	MRE11	familial ovarian cancer	MONDO_0016248	EFO_0000512	reproductive system disease	False			
ENSG00000020922	MRE11	familial ovarian cancer	MONDO_0016248	EFO_0001379	endocrine system disease	False			
ENSG00000020922	MRE11	familial ovarian cancer	MONDO_0016248	MONDO_0045024	cancer or benign tumor	False			
ENSG00000020922	MRE11	hereditary breast carcinoma	MONDO_0016419	EFO_0009483	breast disease	False			
ENSG00000020922	MRE11	hereditary breast carcinoma	MONDO_0016419	MONDO_0045024	cancer or benign tumor	False			
ENSG00000021488	SLC7A9	cystinuria	MONDO_0009067	EFO_0009690	urinary system disease	False			
ENSG00000022355	GABRA1	epilepsy	MONDO_0005027	EFO_0000618	nervous system disease	True	MONDO_0002009	major depressive disorder	0.8615256302408943
ENSG00000023228	NDUFS1	Leigh syndrome	MONDO_0009723	EFO_0000618	nervous system disease	False			
ENSG00000023228	NDUFS1	Leigh syndrome	MONDO_0009723	MONDO_0021147	disorder of development or morphogenesis	False			
ENSG00000023892	DEF6	immunodeficiency 87 and autoimmunity	MONDO_0030457	EFO_0000540	immune system disease	False	MONDO_0007915;EFO_0001060;MONDO_0005147	systemic lupus erythematosus;celiac disease;type 1 diabetes mellitus	0.1292259042147038;0.0759152065184663;0.0704226022938927
ENSG00000025796	SEC63	polycystic liver disease 2	MONDO_0014860	EFO_0000405	digestive system disease	False			
ENSG00000025796	SEC63	polycystic liver disease 2	MONDO_0014860	EFO_0001379	endocrine system disease	False			
ENSG00000027847	B4GALT7	Ehlers-Danlos syndrome, spondylodysplastic type, 1	MONDO_0020682	EFO_0009676	musculoskeletal system disease	False			
ENSG00000027847	B4GALT7	Ehlers-Danlos syndrome, spondylodysplastic type, 1	MONDO_0020682	MONDO_0021147	disorder of development or morphogenesis	False			
ENSG00000029534	ANK1	hereditary spherocytosis	MONDO_0019350	EFO_0005803	hematologic disease	False			
ENSG00000030419	IKZF2	HELIOS deficiency	MONDO_0800139	EFO_0000540	immune system disease	True	EFO_0005854;MONDO_0007915;EFO_0003779	allergic rhinitis;systemic lupus erythematosus;Hashimoto's thyroiditis	0.9352866452842468;0.9553048193226316;0.8286379301429299
ENSG00000030582	GRN	frontotemporal dementia and/or amyotrophic lateral sclerosis	MONDO_0030923	EFO_0000618	nervous system disease	True	MONDO_0001627;MONDO_0004975;MONDO_0005180;EFO_1001870;MONDO_0011842;EFO_0005772	dementia;Alzheimer disease;Parkinson disease;late-onset Alzheimers disease;GRN-related frontotemporal lobar degeneration with Tdp43 inclusions;neurodegenerative disease	0.8795594879105733;0.5735091442136154;0.07624234651863263;0.060120705880985836;0.8212611712487343;0.8002181159345458
ENSG00000030582	GRN	neuronal ceroid lipofuscinosis	MONDO_0016295	EFO_0000618	nervous system disease	True	MONDO_0001627;MONDO_0004975;MONDO_0005180;EFO_1001870;MONDO_0011842;EFO_0005772	dementia;Alzheimer disease;Parkinson disease;late-onset Alzheimers disease;GRN-related frontotemporal lobar degeneration with Tdp43 inclusions;neurodegenerative disease	0.8795594879105733;0.5735091442136154;0.07624234651863263;0.060120705880985836;0.8212611712487343;0.8002181159345458
ENSG00000031698	SARS1	neurodevelopmental disorder with microcephaly, ataxia, and seizures	MONDO_0060577	EFO_0000618	nervous system disease	False			
ENSG00000032444	PNPLA6	PNPLA6-related spastic paraplegia with or without ataxia	MONDO_0100149	EFO_0000618	nervous system disease	False			
ENSG00000033030	ZCCHC8	pulmonary fibrosis and/or bone marrow failure, telomere-related, 5	MONDO_0032865	EFO_0000684	respiratory system disease	False			
ENSG00000034239	CLXN	ciliary dyskinesia, primary, 53	MONDO_0957991	EFO_0000684	respiratory system disease	False	EFO_0000768	idiopathic pulmonary fibrosis	0.11506834465915905
ENSG00000034693	PEX3	peroxisome biogenesis disorder	MONDO_0019234	EFO_0000618	nervous system disease	False	MONDO_0005090	schizophrenia	0.1832617466516016
ENSG00000034971	MYOC	open-angle glaucoma	MONDO_0005338	EFO_0000524	head and neck disorder	True	EFO_0004190;MONDO_0005041;EFO_0004235	open-angle glaucoma;glaucoma;exfoliation syndrome	0.9892875578718584;0.9896372824890878;0.9759589582062321
ENSG00000034971	MYOC	open-angle glaucoma	MONDO_0005338	MONDO_0024458	disorder of visual system	True	EFO_0004190;MONDO_0005041;EFO_0004235	open-angle glaucoma;glaucoma;exfoliation syndrome	0.9892875578718584;0.9896372824890878;0.9759589582062321
ENSG00000035403	VCL	dilated cardiomyopathy	MONDO_0005021	EFO_0000319	cardiovascular disease	True	EFO_0004264;EFO_0001645	vascular disease;coronary artery disease	0.6380098036752223;0.6239702204916563
ENSG00000035403	VCL	dilated cardiomyopathy	MONDO_0005021	EFO_0009676	musculoskeletal system disease	True	EFO_1000786;EFO_0004616;MONDO_0005178	osteoarthritis, hip;osteoarthritis, knee;osteoarthritis	0.06738095888826853;0.6505487893792827;0.8899531917176892
ENSG00000035403	VCL	hypertrophic cardiomyopathy	MONDO_0005045	EFO_0000319	cardiovascular disease	True	EFO_0004264;EFO_0001645	vascular disease;coronary artery disease	0.6380098036752223;0.6239702204916563
ENSG00000035403	VCL	hypertrophic cardiomyopathy	MONDO_0005045	EFO_0009676	musculoskeletal system disease	True	EFO_1000786;EFO_0004616;MONDO_0005178	osteoarthritis, hip;osteoarthritis, knee;osteoarthritis	0.06738095888826853;0.6505487893792827;0.8899531917176892
ENSG00000035928	RFC1	cerebellar ataxia with neuropathy and bilateral vestibular areflexia syndrome	MONDO_0044720	EFO_0000618	nervous system disease	True	EFO_0009562;EFO_0009671	polyneuropathy;hereditary ataxia	0.8795874168764338;0.7822071502267368
ENSG00000035928	RFC1	cerebellar ataxia with neuropathy and bilateral vestibular areflexia syndrome	MONDO_0044720	MONDO_0024623	otorhinolaryngologic disease	False			
ENSG00000036257	CUL3	complex neurodevelopmental disorder	MONDO_0100038	EFO_0000618	nervous system disease	True	MONDO_0005090;EFO_0003888	schizophrenia;attention deficit hyperactivity disorder	0.8936685336342992;0.8752229416726035
ENSG00000036257	CUL3	pseudohypoaldosteronism type 2E	MONDO_0013782	EFO_0009690	urinary system disease	False			
ENSG00000036828	CASR	autosomal dominant hypocalcemia 1	MONDO_0011013	EFO_0001379	endocrine system disease	True	EFO_0005754;MONDO_0005148;EFO_0001421;EFO_0008506	parathyroid disease;type 2 diabetes mellitus;liver disease;hyperparathyroidism	0.06048352004622326;0.5716142306128094;0.7426078603278552;0.4947681493511458
ENSG00000036828	CASR	epilepsy	MONDO_0005027	EFO_0000618	nervous system disease	False			
ENSG00000036828	CASR	familial hypocalciuric hypercalcemia 1	MONDO_0007791	EFO_0000684	respiratory system disease	False	MONDO_0004979	asthma	0.11057561999518394
ENSG00000036828	CASR	familial hypocalciuric hypercalcemia 1	MONDO_0007791	EFO_0001379	endocrine system disease	True	EFO_0005754;MONDO_0005148;EFO_0001421;EFO_0008506	parathyroid disease;type 2 diabetes mellitus;liver disease;hyperparathyroidism	0.06048352004622326;0.5716142306128094;0.7426078603278552;0.4947681493511458
ENSG00000036828	CASR	familial hypocalciuric hypercalcemia 1	MONDO_0007791	EFO_0009676	musculoskeletal system disease	True	EFO_1000941;EFO_0003898	frozen shoulder;ankylosing spondylitis	0.6973257843213817
ENSG00000036828	CASR	neonatal severe primary hyperparathyroidism	MONDO_0009397	EFO_0001379	endocrine system disease	True	EFO_0005754;MONDO_0005148;EFO_0001421;EFO_0008506	parathyroid disease;type 2 diabetes mellitus;liver disease;hyperparathyroidism	0.06048352004622326;0.5716142306128094;0.7426078603278552;0.4947681493511458
ENSG00000036828	CASR	neonatal severe primary hyperparathyroidism	MONDO_0009397	EFO_0009676	musculoskeletal system disease	True	EFO_1000941;EFO_0003898	frozen shoulder;ankylosing spondylitis	0.6973257843213817
ENSG00000036828	CASR	neonatal severe primary hyperparathyroidism	MONDO_0009397	EFO_1001986	connective tissue disease	True	EFO_0003898	ankylosing spondylitis	0.6973257843213817
ENSG00000036828	CASR	neonatal severe primary hyperparathyroidism	MONDO_0009397	MONDO_0045024	cancer or benign tumor	True	EFO_0000588	mesothelioma	0.8662503650660612
ENSG00000037280	FLT4	lymphatic malformation 1	MONDO_0007919	EFO_0000319	cardiovascular disease	True	EFO_0000668;MONDO_0021661	preeclampsia;coronary atherosclerosis	0.6754772927499748;0.70582231035325
ENSG00000037280	FLT4	lymphatic malformation 1	MONDO_0007919	EFO_0000540	immune system disease	False			
ENSG00000037474	NSUN2	syndromic intellectual disability	MONDO_0000508	EFO_0000618	nervous system disease	False			
ENSG00000038002	AGA	aspartylglucosaminuria	MONDO_0008830	EFO_0009676	musculoskeletal system disease	False			
ENSG00000038002	AGA	aspartylglucosaminuria	MONDO_0008830	MONDO_0021147	disorder of development or morphogenesis	False			
ENSG00000038295	TLL1	congenital heart disease	MONDO_0005453	EFO_0000319	cardiovascular disease	True	EFO_0009493;EFO_0003870;EFO_0003781;EFO_0004264	paroxysmal tachycardia;brain aneurysm;carotid artery disease;vascular disease	0.6235615925100251;0.7141119288743801;0.2679602201943216;0.34364378997204503
ENSG00000038295	TLL1	congenital heart disease	MONDO_0005453	MONDO_0021147	disorder of development or morphogenesis	False			
ENSG00000038382	TRIO	syndromic intellectual disability	MONDO_0000508	EFO_0000618	nervous system disease	False			
ENSG00000038427	VCAN	Wagner disease	MONDO_0007740	EFO_0000524	head and neck disorder	False			
